d_week_seq,ss_store_sk,avg(ss_sales_price),sum(ss_sales_price)
5163,2,37.6791,131613
5163,4,38.1595,138061
5163,7,37.2912,135479
5163,8,37.6853,123721
5163,10,38.0425,135165
5164,1,38.2860,137332
5164,2,38.2005,130493
5164,4,38.1386,122997
5164,7,37.4844,117851
5164,8,37.2777,122420
5164,10,36.9792,122512
5165,1,38.2280,147407
5165,2,37.9834,110152
5165,4,36.9049,140128
5165,7,38.8254,134724
5165,8,38.4506,136884
5165,10,37.7902,136876
5166,1,38.2911,98140
5166,2,38.2705,109798
5166,4,38.3931,110841
5166,7,38.0129,108945
5166,8,37.1345,93616
5166,10,38.1501,109529
5167,1,38.7058,41570
5167,2,36.6970,31009
5167,4,36.5136,37609
5167,7,38.2162,39057
5167,8,38.8501,31352
5167,10,38.0457,35002
5168,1,37.1192,39235
5168,2,36.5410,28502
5168,4,37.1901,41467
5168,7,35.7324,37519
5168,8,38.6475,34860
5168,10,37.5557,38457
5169,1,38.4976,40615
5169,2,39.2767,29811
5169,4,35.5693,35178
5169,7,37.0704,34735
5169,8,37.1879,37411
5169,10,38.5681,35984
5170,1,36.8499,24800
5170,2,38.4747,41091
5170,4,36.8878,36814
5170,7,37.9229,39819
5170,8,38.5879,41289
5170,10,37.7628,39009
5171,1,37.2572,34910
5171,2,36.0055,32837
5171,4,38.5279,38027
5171,7,39.7234,44808
5171,8,39.0706,42587
5171,10,37.0721,34959
5172,1,38.8437,41252
5172,2,39.0942,39446
5172,4,38.9411,36332
5172,7,37.2120,36691
5172,8,37.7456,38576
5172,10,37.2640,41363
5173,1,39.6513,37074
5173,2,39.5540,31841
5173,4,38.6161,40740
5173,7,38.9900,35130
5173,8,39.1610,30898
5173,10,37.5052,36380
5174,1,36.9106,44182
5174,2,37.4703,34735
5174,4,39.3123,44187
5174,7,38.3687,36527
5174,8,36.0615,35196
5174,10,37.7542,40397
5175,1,36.8735,30900
5175,2,37.2972,36514
5175,4,36.1714,29335
5175,7,37.2812,37915
5175,8,37.9800,28485
5175,10,38.2229,29317
5176,1,39.4843,40116
5176,2,38.8894,27767
5176,4,36.9869,36654
5176,7,39.6704,42844
5176,8,39.9582,38240
5176,10,38.9703,39399
5177,1,35.8466,33409
5177,2,37.5802,41451
5177,4,37.6115,31368
5177,7,38.4523,37914
5177,8,36.9855,28072
5177,10,37.2325,37791
5178,1,36.0876,37495
5178,2,39.7711,36828
5178,4,40.1050,35132
5178,7,37.0380,40964
5178,8,38.7784,43044
5178,10,37.6519,30498
5179,1,40.0010,40641
5179,2,36.1021,35019
5179,4,37.1308,32638
5179,7,37.7451,33027
5179,8,39.3874,37615
5179,10,36.9877,39133
5180,1,36.8622,39590
5180,2,37.5482,33906
5180,4,39.4360,36991
5180,7,37.5114,31397
5180,8,37.4441,34823
5180,10,36.9760,29248
5181,1,38.6471,40193
5181,2,39.2291,40406
5181,4,38.2210,34246
5181,7,35.2671,29977
5181,8,37.8192,41828
5181,10,37.1604,33370
5182,1,36.3743,36738
5182,2,38.4995,36998
5182,4,39.0489,39947
5182,7,36.0752,32612
5182,8,38.0265,34376
5182,10,36.5349,39275
5183,1,40.3589,39471
5183,2,37.4289,35782
5183,4,40.2312,35323
5183,7,37.3536,33170
5183,8,39.2317,31150
5183,10,39.5658,40278
5184,1,39.5972,36271
5184,2,37.1977,32920
5184,4,38.8106,40984
5184,7,37.3322,32143
5184,8,37.4442,35572
5184,10,37.2140,39298
5185,1,37.8719,40788
5185,2,38.8821,30017
5185,4,38.2202,38526
5185,7,35.8154,35887
5185,8,36.5925,37178
5185,10,36.9789,35130
5186,1,37.6735,38314
5186,2,37.8190,33432
5186,4,38.2019,32739
5186,7,38.4976,40615
5186,8,37.5618,32228
5186,10,38.9721,36283
5187,1,37.0814,31890
5187,2,37.0190,44719
5187,4,39.9336,45724
5187,7,37.7859,37937
5187,8,39.0794,38884
5187,10,37.2031,41035
5188,1,38.7755,40249
5188,2,38.8229,43404
5188,4,36.0894,30676
5188,7,37.5760,42536
5188,8,38.8245,36728
5188,10,38.8513,40755
5189,1,40.0979,44228
5189,2,37.7744,33317
5189,4,39.2032,34342
5189,7,39.0141,36088
5189,8,39.0721,33602
5189,10,37.6449,31697
5190,1,35.7739,38600
5190,2,39.6548,38029
5190,4,37.8675,32869
5190,7,39.6186,36251
5190,8,40.1434,43395
5190,10,38.4772,38054
5191,1,35.5399,31595
5191,2,38.2520,37487
5191,4,38.2287,38955
5191,7,38.5622,33472
5191,8,39.9126,35163
5191,10,39.2772,36842
5192,1,38.1228,36941
5192,2,39.2752,35387
5192,4,39.6989,37317
5192,7,37.0521,34162
5192,8,36.9250,40359
5192,10,37.8343,39953
5193,1,37.7667,31724
5193,2,36.8725,29498
5193,4,38.3529,34019
5193,7,36.9979,35185
5193,8,39.4526,45410
5193,10,34.9267,32412
5194,1,36.8832,36957
5194,2,36.6185,35703
5194,4,38.2574,37454
5194,7,38.9067,36261
5194,8,39.5158,28807
5194,10,38.5939,35352
5195,1,37.7262,29351
5195,2,37.6031,33730
5195,4,40.0618,36296
5195,7,38.3433,40989
5195,8,38.6796,28855
5195,10,38.2714,35401
5196,1,38.2334,30472
5196,2,38.3013,30258
5196,4,36.2605,30205
5196,7,38.5447,35808
5196,8,37.8982,42067
5196,10,36.7591,28378
5197,1,37.8665,78876
5197,2,38.6190,76929
5197,4,37.0466,86578
5197,7,37.2653,72891
5197,8,38.0922,79308
5197,10,38.7598,91667
5198,1,38.9337,78101
5198,2,38.8180,92348
5198,4,38.6465,76520
5198,7,38.4965,87002
5198,8,38.4342,83210
5198,10,38.1034,80703
5199,1,36.6822,83452
5199,2,38.5829,83069
5199,4,38.0554,72077
5199,7,38.0718,80027
5199,8,36.4808,84526
5199,10,38.2774,80995
5200,1,37.8703,71537
5200,2,38.1873,74007
5200,4,38.7710,89716
5200,7,36.2045,80917
5200,8,39.9876,87293
5200,10,37.5423,89163
5201,1,38.0156,90287
5201,2,38.3909,82694
5201,4,37.6952,73468
5201,7,37.9191,97983
5201,8,37.1642,89157
5201,10,36.9986,81064
5202,1,37.6068,77282
5202,2,38.2640,83645
5202,4,39.2313,84818
5202,7,38.1368,80278
5202,8,37.9788,78730
5202,10,37.9812,82837
5203,1,38.0543,93956
5203,2,37.9800,83480
5203,4,38.0246,81943
5203,7,37.0615,75976
5203,8,37.3614,80738
5203,10,37.5849,94338
5204,1,36.8410,77624
5204,2,37.7690,90759
5204,4,37.6642,82560
5204,7,38.0973,73642
5204,8,36.8959,79363
5204,10,38.6074,78759
5205,1,36.0146,71489
5205,2,39.5514,88081
5205,4,36.3753,83154
5205,7,38.3333,81880
5205,8,36.3978,70721
5205,10,37.6137,88994
5206,1,37.4038,75780
5206,2,37.2845,80609
5206,4,37.6585,83263
5206,7,36.6404,81305
5206,8,37.8030,78668
5206,10,36.8940,78289
5207,1,37.6662,77856
5207,2,38.3391,89100
5207,4,37.8477,75279
5207,7,39.0588,86398
5207,8,38.4970,83115
5207,10,38.5976,90936
5208,1,37.2924,78426
5208,2,38.8461,90589
5208,4,37.3327,78548
5208,7,37.2449,84099
5208,8,36.8788,78183
5208,10,37.3883,85320
5209,1,37.7998,83273
5209,2,36.5467,82157
5209,4,38.0156,77780
5209,7,37.4636,82420
5209,8,39.0211,96226
5209,10,38.4450,86040
5210,1,37.6993,113852
5210,2,36.3960,115521
5210,4,37.2396,114065
5210,7,37.8825,128611
5210,8,38.5437,126269
5210,10,37.7655,116280
5211,1,37.9622,129489
5211,2,37.3905,130231
5211,4,37.3316,114496
5211,7,38.6452,135181
5211,8,38.1355,120203
5211,10,38.0102,123381
5212,1,37.4616,129205
5212,2,36.9727,113913
5212,4,37.3138,110225
5212,7,38.2221,119941
5212,8,37.9350,115550
5212,10,37.4077,119742
5213,1,38.8499,130924
5213,2,37.6266,114761
5213,4,37.8936,108224
5213,7,37.8186,135126
5213,8,37.1746,124312
5213,10,38.1877,126783
5214,1,38.0323,111739
5214,2,37.9273,125160
5214,4,37.6707,130529
5214,7,37.2388,124452
5214,8,38.4391,134460
5214,10,37.4137,122081
5215,1,37.6997,116379
5215,2,38.2213,131787
5215,4,38.3431,119592
5215,7,38.3943,126970
5215,8,38.8264,125487
5215,10,39.0921,133734
5216,1,37.3252,132467
5216,2,37.4001,123009
5216,4,37.9735,129110
5216,7,38.1712,137340
5216,8,37.0364,136183
5216,10,38.5926,132720
5217,1,37.8937,130127
5217,2,37.7514,130431
5217,4,37.7151,132908
5217,7,37.7952,123628
5217,8,37.7710,130612
5217,10,36.5835,112787
5218,1,38.0844,114634
5218,2,37.5754,111336
5218,4,38.3863,133162
5218,7,38.4759,118929
5218,8,38.5052,129339
5218,10,38.1367,128025
5219,1,36.6584,37025
5219,2,38.6367,35198
5219,4,39.2376,38649
5219,7,37.1355,31788
5219,8,38.1058,39973
5219,10,38.6161,42246
5220,1,37.8522,35846
5220,2,38.3935,41081
5220,4,37.1761,33347
5220,7,37.7687,32821
5220,8,38.1039,34484
5220,10,37.3893,41876
5221,1,37.4208,38057
5221,2,38.5299,36719
5221,4,37.6066,34410
5221,7,39.6697,39035
5221,8,36.9727,35272
5221,10,38.0772,42418
5222,1,40.2622,29633
5222,2,37.5956,37370
5222,4,37.2206,35769
5222,7,38.5302,36411
5222,8,37.5373,38701
5222,10,37.7180,34512
5223,1,37.3965,38107
5223,2,39.8013,41871
5223,4,39.7327,31508
5223,7,39.1900,38367
5223,8,39.1205,42524
5223,10,37.6353,33646
5224,1,38.5498,30994
5224,2,37.7295,34447
5224,4,37.5369,34609
5224,7,38.5329,38032
5224,8,37.8446,41894
5224,10,37.8276,32910
5225,1,39.3229,39087
5225,2,39.5455,35235
5225,4,39.0722,43839
5225,7,37.2078,43161
5225,8,37.1586,37716
5225,10,39.0668,42661
5226,1,38.1054,33990
5226,2,36.9882,37654
5226,4,36.9777,33132
5226,7,40.0525,37369
5226,8,37.7173,40961
5226,10,38.7210,34694
5227,1,39.4134,31176
5227,2,38.1110,39483
5227,4,39.0471,31511
5227,7,36.2718,30432
5227,8,37.2751,32243
5227,10,38.0264,43198
5228,1,39.5675,37510
5228,2,37.7754,38682
5228,4,38.3618,43157
5228,7,38.6220,40669
5228,8,37.8472,27742
5228,10,37.2737,28328
5229,1,39.1372,34519
5229,2,36.2572,33828
5229,4,38.3894,38351
5229,7,38.0936,36227
5229,8,36.4060,33894
5229,10,37.4201,37233
5230,1,38.9159,37009
5230,2,37.0670,38735
5230,4,37.8766,40225
5230,7,37.9039,37487
5230,8,37.7560,39455
5230,10,35.6414,31507
5231,1,38.1501,36357
5231,2,38.3208,44912
5231,4,38.7340,44273
5231,7,37.2950,43113
5231,8,38.4262,35160
5231,10,38.2670,39989
5232,1,38.6815,36438
5232,2,39.4159,38667
5232,4,38.1346,37677
5232,7,38.6698,33256
5232,8,36.4433,43076
5232,10,39.4256,43171
5233,1,40.0603,35894
5233,2,37.0415,35745
5233,4,36.8290,32299
5233,7,40.8162,34204
5233,8,38.0948,30933
5233,10,37.5493,38488
5234,1,38.3438,34241
5234,2,37.2791,29786
5234,4,38.1623,42551
5234,7,37.5134,40702
5234,8,38.9132,41676
5234,10,36.9752,31355
5235,1,38.4865,44298
5235,2,37.3574,35751
5235,4,38.0212,30455
5235,7,37.4521,28164
5235,8,35.9773,25364
5235,10,37.6035,39070
5236,1,38.4194,36460
5236,2,38.8343,34446
5236,4,34.7379,33661
5236,7,36.7984,37240
5236,8,38.5974,38829
5236,10,37.8380,39011
5237,1,39.8723,33732
5237,2,38.2444,34420
5237,4,37.2075,43756
5237,7,39.1321,32871
5237,8,39.9218,34213
5237,10,38.2247,37422
5238,1,39.2513,36386
5238,2,36.2668,36702
5238,4,37.0782,43641
5238,7,37.0538,35794
5238,8,39.0469,41663
5238,10,37.6113,35317
5239,1,38.7283,36637
5239,2,39.4548,36693
5239,4,36.4219,43160
5239,7,37.6977,40035
5239,8,38.4776,44634
5239,10,37.9099,38289
5240,1,38.7834,33664
5240,2,37.9746,34367
5240,4,38.8115,33766
5240,7,41.4688,34585
5240,8,38.0335,26091
5240,10,36.9342,35900
5241,1,34.7346,37166
5241,2,36.9234,40025
5241,4,38.0010,36747
5241,7,38.6184,37035
5241,8,38.4166,42604
5241,10,37.5822,38860
5242,1,37.8738,48933
5242,2,38.6344,38364
5242,4,38.7687,32682
5242,7,35.2080,37919
5242,8,39.8567,40056
5242,10,36.9936,40508
5243,1,39.7984,38684
5243,2,36.9248,36851
5243,4,38.4311,43235
5243,7,38.5466,39703
5243,8,38.8621,42554
5243,10,37.7111,35373
5244,1,38.5271,39105
5244,2,38.4315,37048
5244,4,37.9401,36726
5244,7,35.7521,34751
5244,8,39.0779,31106
5244,10,38.2533,40472
5245,1,39.0226,37930
5245,2,38.4198,38074
5245,4,36.9396,30586
5245,7,36.8093,35521
5245,8,39.1138,39857
5245,10,37.6568,36979
5246,1,38.1036,34941
5246,2,37.4610,34614
5246,4,39.2895,36775
5246,7,38.2387,35562
5246,8,38.7434,33823
5246,10,37.5300,31863
5247,1,35.8800,30498
5247,2,39.2221,39026
5247,4,36.8873,36998
5247,7,38.9379,33214
5247,8,38.5811,36382
5247,10,38.6049,28529
5248,1,38.9341,42516
5248,2,37.5994,36133
5248,4,37.9982,42634
5248,7,37.1495,35032
5248,8,37.8123,27603
5248,10,38.0976,34745
5249,1,37.5584,79436
5249,2,38.4933,80913
5249,4,38.6333,82173
5249,7,37.8367,78322
5249,8,37.4241,79863
5249,10,38.6575,78784
5250,1,39.1153,83081
5250,2,38.3829,80604
5250,4,36.9663,75707
5250,7,39.0959,90468
5250,8,39.1759,87950
5250,10,38.1429,79566
5251,1,37.7860,93596
5251,2,38.3960,80862
5251,4,38.4122,75211
5251,7,37.5214,79733
5251,8,38.8161,87996
5251,10,36.1654,80902
5252,1,38.1958,83305
5252,2,38.4111,87270
5252,4,37.6706,76283
5252,7,38.7823,78379
5252,8,38.2125,76960
5252,10,38.3541,80697
5253,1,37.4395,97118
5253,2,36.9110,79248
5253,4,38.5514,89285
5253,7,38.5322,87237
5253,8,39.1013,84928
5253,10,37.2901,80845
5254,1,37.3201,83933
5254,2,37.7918,78796
5254,4,39.1018,97168
5254,7,37.4453,79384
5254,8,36.4331,82011
5254,10,37.6874,94746
5255,1,37.2623,88796
5255,2,38.7891,102985
5255,4,38.1799,85523
5255,7,37.3672,94016
5255,8,37.5806,87450
5255,10,37.3283,86415
5256,1,38.2280,87007
5256,2,37.7231,86386
5256,4,37.6531,77829
5256,7,37.1555,90548
5256,8,39.7813,84774
5256,10,37.0536,85001
5257,1,39.3619,92776
5257,2,38.2248,76679
5257,4,36.7234,83105
5257,7,37.7578,70607
5257,8,36.9979,89757
5257,10,38.9142,75727
5258,1,37.6177,76364
5258,2,38.2307,80055
5258,4,37.4614,80954
5258,7,37.3697,85913
5258,8,38.8451,75748
5258,10,37.9403,98493
5259,1,38.3099,86542
5259,2,37.9270,82074
5259,4,38.2402,76901
5259,7,37.1935,83016
5259,8,37.8080,81741
5259,10,37.6192,86637
5260,1,38.4115,83545
5260,2,37.4934,88372
5260,4,38.3207,90705
5260,7,38.2858,78103
5260,8,38.1567,73299
5260,10,37.8846,84672
5261,1,38.1651,87589
5261,2,37.4752,83907
5261,4,37.8523,94025
5261,7,37.4923,88032
5261,8,39.6341,91951
5261,10,38.3227,78255
5262,1,37.2755,112423
5262,2,37.4556,112217
5262,4,39.3229,114233
5262,7,38.2825,129280
5262,8,37.6656,109042
5262,10,38.1647,121631
5263,1,37.5694,121725
5263,2,38.3156,122878
5263,4,37.3914,124775
5263,7,39.0508,130664
5263,8,37.8062,129940
5263,10,37.5655,129075
5264,1,37.1564,118046
5264,2,37.5545,119799
5264,4,38.8085,124847
5264,7,37.3106,129729
5264,8,37.1574,126521
5264,10,37.9935,135295
5265,1,36.6728,125201
5265,2,37.8620,117183
5265,4,38.5205,129429
5265,7,37.0133,141909
5265,8,37.8399,128542
5265,10,38.1671,110990
5266,1,38.4779,123437
5266,2,38.4407,131890
5266,4,37.7233,129768
5266,7,38.1002,114415
5266,8,38.6154,123608
5266,10,37.5717,134206
5267,1,37.3506,120605
5267,2,39.0417,130165
5267,4,38.2148,130427
5267,7,38.2356,135354
5267,8,36.4329,120338
5267,10,37.0199,113207
5268,1,37.5256,118093
5268,2,37.9321,131321
5268,4,37.0370,127185
5268,7,37.8172,136104
5268,8,38.8265,132709
5268,10,39.1650,120824
5269,1,37.8355,132273
5269,2,38.4587,123491
5269,4,37.5524,113258
5269,7,37.1222,122392
5269,8,37.4995,124461
5269,10,37.4112,120651
5270,1,36.9695,133238
5270,2,37.9212,131321
5270,4,37.7581,112859
5270,7,37.6751,134613
5270,8,38.3909,131220
5270,10,38.6846,127814
5271,1,37.3835,38505
5271,2,39.4303,49485
5271,4,37.9841,33464
5271,7,38.0736,40891
5271,8,38.5123,49989
5271,10,38.2927,41471
5272,1,36.5822,35375
5272,2,35.9046,33499
5272,4,37.5233,34559
5272,7,37.1904,32616
5272,8,37.3518,38435
5272,10,37.4866,34975
5273,1,37.0160,36942
5273,2,36.7779,33615
5273,4,36.3121,33044
5273,7,36.2870,36033
5273,8,37.8566,37213
5273,10,38.7831,32539
5274,1,37.5421,36566
5274,2,38.6573,37343
5274,4,37.6573,39013
5274,7,36.8822,29432
5274,8,37.0658,32655
5274,10,37.4152,42354
5275,1,36.2050,37798
5275,2,35.5689,32759
5275,4,36.8220,38479
5275,7,38.1318,36454
5275,8,38.7393,39979
5275,10,38.8463,29562
5276,1,37.7913,40739
5276,2,39.6698,37845
5276,4,39.8712,50477
5276,7,36.8113,35118
5276,8,37.5388,39153
5276,10,37.5330,33592
5277,1,37.6904,37012
5277,2,37.5646,33132
5277,4,37.8175,29422
5277,7,37.4584,35548
5277,8,35.9731,32088
5277,10,38.4021,40783
5278,1,36.0283,36929
5278,2,40.7224,35062
5278,4,38.5229,38754
5278,7,39.2079,46775
5278,8,37.1840,38597
5278,10,36.8910,39252
5279,1,37.5033,28540
5279,2,38.7048,27403
5279,4,37.5940,27406
5279,7,39.7326,26303
5279,8,38.1677,30725
5279,10,39.0980,32725
5280,1,38.0286,35899
5280,2,38.7682,35124
5280,4,37.9247,35232
5280,7,39.4739,36237
5280,8,39.0552,42453
5280,10,35.8607,31665
5281,1,39.0192,38668
5281,2,36.8216,35717
5281,4,36.5564,28514
5281,7,40.4678,38323
5281,8,37.5625,37262
5281,10,36.1531,42046
5282,1,38.3233,35679
5282,2,39.0657,30315
5282,4,36.2409,41967
5282,7,40.8890,36841
5282,8,37.9580,37085
5282,10,38.2357,35368
5283,1,37.8724,32343
5283,2,38.2412,38203
5283,4,37.8245,32756
5283,7,37.7895,33746
5283,8,39.3501,41357
5283,10,36.7217,26917
5284,1,37.5553,41123
5284,2,38.0099,42305
5284,4,37.2386,40888
5284,7,36.0448,31359
5284,8,38.3318,40555
5284,10,38.9640,37873
5285,1,40.0316,36789
5285,2,37.0440,40415
5285,4,36.2636,31912
5285,7,39.1396,39805
5285,8,36.1490,29606
5285,10,38.5361,39538
5286,1,36.9905,31257
5286,2,37.5693,35503
5286,4,36.6922,33977
5286,7,38.4780,39286
5286,8,36.6719,39899
5286,10,38.8201,39480
5287,1,37.2195,29329
5287,2,38.3871,42341
5287,4,38.3113,38771
5287,7,38.3975,33137
5287,8,37.2040,31363
5287,10,38.7369,41371
5288,1,38.4361,37283
5288,2,36.2124,32048
5288,4,38.5900,34075
5288,7,38.8794,37402
5288,8,38.4766,37784
5288,10,38.1455,32767
5289,1,36.8442,35702
5289,2,39.0010,38221
5289,4,37.2086,32111
5289,7,37.7241,36366
5289,8,37.5821,32283
5289,10,38.2811,44674
5290,1,37.2497,35052
5290,2,38.1178,41739
5290,4,35.5030,35574
5290,7,38.8479,37294
5290,8,37.1973,38834
5290,10,38.5891,40943
5291,1,39.3225,33896
5291,2,38.5456,34267
5291,4,39.7692,44104
5291,7,37.9396,39571
5291,8,39.4012,40268
5291,10,39.7232,30428
5292,1,37.3597,36874
5292,2,39.7542,35103
5292,4,39.1725,42698
