ca_county,d_qoy,d_year,avg(ss_ext_sales_price),sum(ss_ext_sales_price)
Alamance County,2,2000,1343.7778,12094
Alamance County,2,2001,2482.4286,34754
Alamance County,3,1998,1457.7255,74344
Alamance County,3,1999,2234.8333,93863
Alamance County,3,2000,1741.4412,59209
Alamance County,3,2001,2063.9032,63981
Alamance County,3,2002,1383.9268,56741
Alamance County,4,1998,1795.2609,82582
Alamance County,4,1999,1960.4348,180360
Alamance County,4,2000,1709.0556,92289
Alamance County,4,2001,1500.6364,33014
Alamance County,4,2002,2243.9815,121175
Alameda County,1,1998,1201.9545,26443
Alameda County,1,1999,2167.7273,95380
Alameda County,1,2000,2083.0000,22913
Alameda County,1,2001,1984.0263,75393
Alameda County,1,2002,1887.9714,132158
Alameda County,2,1998,1615.0000,32300
Alameda County,2,1999,1804.5641,70378
Alameda County,2,2000,2701.7778,48632
Alameda County,2,2001,2272.1642,152235
Alameda County,3,1998,2049.9000,20499
Alameda County,3,2000,1716.3200,42908
Alameda County,3,2001,1945.0000,175050
Alameda County,3,2002,1735.1385,112784
Alameda County,4,1998,2159.4722,77741
Alameda County,4,1999,2046.5071,286511
Alameda County,4,2000,1741.7907,299588
Alameda County,4,2001,1347.2286,94306
Alameda County,4,2002,1967.1300,196713
Alamosa County,1,2000,2406.6250,19253
Alamosa County,1,2002,1163.8182,12802
Alamosa County,2,1998,1690.2188,54087
Alamosa County,2,1999,1990.2000,19902
Alamosa County,2,2000,1240.2308,16123
Alamosa County,2,2001,1372.0833,32930
Alamosa County,2,2002,1406.0000,49210
Alamosa County,3,1998,2103.1429,73610
Alamosa County,3,1999,2147.0625,68706
Alamosa County,3,2000,2534.1786,70957
Alamosa County,3,2001,1223.4839,37928
Alamosa County,3,2002,1696.0426,79714
Alamosa County,4,1998,2629.3000,26293
Alamosa County,4,1999,2394.0769,93369
Alamosa County,4,2000,1662.1200,41553
Alamosa County,4,2001,1923.4783,88480
Alamosa County,4,2002,1703.2750,68131
Albany County,1,1998,2459.1864,145092
Albany County,1,1999,1410.0690,40892
Albany County,1,2000,1542.4667,46274
Albany County,1,2001,2140.5556,154120
Albany County,1,2002,2229.5067,167213
Albany County,1,2003,1210.5385,15737
Albany County,2,1998,1611.7925,85425
Albany County,2,1999,1495.4167,17945
Albany County,2,2000,1891.0408,92661
Albany County,2,2001,2002.6000,20026
Albany County,2,2002,2009.6349,126607
Albany County,3,1998,1983.0125,158641
Albany County,3,1999,1858.1915,262005
Albany County,3,2000,1651.6628,142043
Albany County,3,2001,2112.8632,200722
Albany County,3,2002,1863.1818,225445
Albany County,4,1998,1878.0849,199077
Albany County,4,1999,1872.8571,222870
Albany County,4,2000,1676.9014,238120
Albany County,4,2001,2099.9504,254094
Albany County,4,2002,2009.2231,261199
Albemarle County,1,1998,2038.1463,83564
Albemarle County,1,1999,1621.1250,51876
Albemarle County,1,2000,2287.7857,32029
Albemarle County,1,2001,2696.3000,53926
Albemarle County,1,2002,1919.6905,80627
Albemarle County,1,2003,1242.3333,11181
Albemarle County,2,1998,1232.9444,22193
Albemarle County,2,1999,1967.4444,70828
Albemarle County,2,2000,1607.9091,53061
Albemarle County,2,2001,1408.7619,29584
Albemarle County,2,2002,1497.8387,46433
Albemarle County,3,1998,1418.8500,56754
Albemarle County,3,1999,2239.5085,132131
Albemarle County,3,2000,1790.7206,121769
Albemarle County,3,2001,1946.5763,114848
Albemarle County,3,2002,1910.7727,42037
Albemarle County,4,1998,2520.1667,120968
Albemarle County,4,1999,1450.0926,78305
Albemarle County,4,2000,1949.0588,99402
Albemarle County,4,2001,1849.6275,282993
Albemarle County,4,2002,1720.3846,134190
Alcona County,1,1998,1803.6047,155110
Alcona County,1,1999,770.6000,7706
Alcona County,1,2000,2003.5455,44078
Alcona County,1,2001,1462.1905,30706
Alcona County,1,2003,1067.8889,9611
Alcona County,2,1998,2549.9649,145348
Alcona County,2,1999,2311.2703,85517
Alcona County,2,2000,2055.3846,53440
Alcona County,2,2001,3680.0909,40481
Alcona County,2,2002,977.5000,11730
Alcona County,3,1998,1694.5161,52530
Alcona County,3,1999,1575.9737,119774
Alcona County,3,2000,1722.0952,36164
Alcona County,3,2001,2485.9250,99437
Alcona County,3,2002,1768.7429,123812
Alcona County,4,1998,1654.0000,150514
Alcona County,4,1999,2349.2963,190293
Alcona County,4,2000,2073.9630,167991
Alcona County,4,2001,2041.9296,144977
Alcona County,4,2002,1985.8087,228368
Alcorn County,1,1999,2096.3333,25156
Alcorn County,1,2000,1915.1159,132143
Alcorn County,1,2001,1184.5000,26059
Alcorn County,1,2002,1664.1569,84872
Alcorn County,2,1998,1302.6190,27355
Alcorn County,2,1999,1758.3125,112532
Alcorn County,2,2001,1832.4286,102616
Alcorn County,2,2002,2622.6667,23604
Alcorn County,3,1998,1682.3333,15141
Alcorn County,3,1999,1427.3462,37111
Alcorn County,3,2000,1720.0175,98041
Alcorn County,3,2001,1788.3788,118033
Alcorn County,3,2002,1672.1475,102001
Alcorn County,4,1998,2077.5000,62325
Alcorn County,4,1999,948.4545,10433
Alcorn County,4,2000,1941.6147,211636
Alcorn County,4,2001,2291.5204,224569
Alcorn County,4,2002,2317.3563,201610
Aleutians East Borough,1,1998,1462.2333,43867
Aleutians East Borough,1,1999,1821.5000,47359
Aleutians East Borough,1,2000,1732.0000,112580
Aleutians East Borough,1,2001,1790.7692,93120
Aleutians East Borough,1,2002,2234.3077,87138
Aleutians East Borough,1,2003,2414.7143,33806
Aleutians East Borough,2,1998,1880.6875,60182
Aleutians East Borough,2,1999,2388.8615,155276
Aleutians East Borough,2,2000,2785.9286,39003
Aleutians East Borough,2,2001,2620.0833,62882
Aleutians East Borough,2,2002,1381.2807,78733
Aleutians East Borough,3,1998,1752.6981,92893
Aleutians East Borough,3,1999,2473.4167,29681
Aleutians East Borough,3,2000,1898.8974,74057
Aleutians East Borough,3,2001,2437.8214,136518
Aleutians East Borough,3,2002,2332.0175,132925
Aleutians East Borough,4,1998,1750.6957,80532
Aleutians East Borough,4,1999,1898.1786,106298
Aleutians East Borough,4,2000,1690.7439,138641
Aleutians East Borough,4,2001,2167.7419,134400
Aleutians East Borough,4,2002,1679.1894,221653
Aleutians West Census Area,1,1998,1998.3462,51957
Aleutians West Census Area,1,1999,2100.5536,117631
Aleutians West Census Area,1,2000,1748.5926,47212
Aleutians West Census Area,1,2001,2042.6900,204269
Aleutians West Census Area,1,2002,1806.1111,16255
Aleutians West Census Area,2,1998,2457.3111,110579
Aleutians West Census Area,2,1999,1692.8000,25392
Aleutians West Census Area,2,2000,2435.9474,92566
Aleutians West Census Area,2,2001,1252.8261,28815
Aleutians West Census Area,3,1998,2024.6827,210567
Aleutians West Census Area,3,1999,1394.5270,103195
Aleutians West Census Area,3,2000,2115.4032,131155
Aleutians West Census Area,3,2001,2136.4318,94003
Aleutians West Census Area,3,2002,1458.7667,43763
Aleutians West Census Area,4,1998,2166.0960,270762
Aleutians West Census Area,4,1999,1974.6250,173767
Aleutians West Census Area,4,2000,1850.5096,290530
Aleutians West Census Area,4,2001,1618.1263,153722
Aleutians West Census Area,4,2002,1914.9495,189580
Alexander County,1,1998,1779.2468,137002
Alexander County,1,1999,2023.7500,56665
Alexander County,1,2000,1978.3582,132550
Alexander County,1,2001,2376.8333,99827
Alexander County,1,2002,1616.5846,105078
Alexander County,2,1998,2477.1563,79269
Alexander County,2,1999,2270.5714,15894
Alexander County,2,2000,2289.9367,180905
Alexander County,2,2001,1053.3125,16853
Alexander County,2,2002,1496.8182,32930
Alexander County,3,1998,1728.7241,100266
Alexander County,3,1999,2282.5278,164342
Alexander County,3,2000,1897.7400,189774
Alexander County,3,2001,2127.8333,114903
Alexander County,3,2002,1881.2000,112872
Alexander County,4,1998,1578.8919,175257
Alexander County,4,1999,2116.9630,228632
Alexander County,4,2000,2432.7000,243270
Alexander County,4,2001,1767.7831,146726
Alexander County,4,2002,2071.9538,269354
Alexandria city,1,1999,1324.0870,30454
Alexandria city,1,2000,2286.3571,128036
Alexandria city,1,2001,1585.6364,52326
Alexandria city,1,2002,2045.4426,124772
Alexandria city,2,1998,2258.2632,42907
Alexandria city,2,1999,2156.4286,45285
Alexandria city,2,2000,1680.4634,68899
Alexandria city,2,2002,3110.6000,31106
Alexandria city,3,1998,2068.7500,66200
Alexandria city,3,1999,1553.2889,69898
Alexandria city,3,2000,1673.1571,117121
Alexandria city,3,2001,2528.4000,75852
Alexandria city,3,2002,1565.8500,62634
Alexandria city,4,1998,1953.2308,126960
Alexandria city,4,1999,1899.3947,72177
Alexandria city,4,2000,1969.3265,96497
Alexandria city,4,2001,1527.8889,68755
Alexandria city,4,2002,1849.9545,122097
Alfalfa County,1,1998,2083.4400,104172
Alfalfa County,1,1999,1806.5517,52390
Alfalfa County,1,2000,1729.0909,38040
Alfalfa County,1,2001,2239.4839,69424
Alfalfa County,1,2002,1983.9000,59517
Alfalfa County,1,2003,2031.6667,30475
Alfalfa County,2,1998,2363.4000,82719
Alfalfa County,2,1999,1574.8333,56694
Alfalfa County,2,2000,2063.8846,53661
Alfalfa County,2,2001,1403.5862,40704
Alfalfa County,2,2002,1895.7143,26540
Alfalfa County,3,1998,1760.0000,31680
Alfalfa County,3,1999,1551.1026,60493
Alfalfa County,3,2000,1925.7500,100139
Alfalfa County,3,2001,1763.3478,121671
Alfalfa County,3,2002,2736.0000,84816
Alfalfa County,4,1998,1869.6591,82265
Alfalfa County,4,1999,1544.3396,163700
Alfalfa County,4,2000,1916.3590,74738
Alfalfa County,4,2001,1708.7069,198210
Alfalfa County,4,2002,1903.2308,49484
Alger County,1,1998,1940.3478,89256
Alger County,1,1999,2034.9808,105819
Alger County,1,2000,2347.3636,103284
Alger County,1,2001,1599.0000,47970
Alger County,1,2002,1886.6279,81125
Alger County,2,1998,2086.9744,81392
Alger County,2,1999,1881.8235,31991
Alger County,2,2000,1889.9310,54808
Alger County,2,2001,2133.0875,170647
Alger County,2,2002,1274.0833,15289
Alger County,3,1998,1459.3846,18972
Alger County,3,1999,2399.9535,103198
Alger County,3,2000,1780.0606,58742
Alger County,3,2001,1561.1304,35906
Alger County,3,2002,1410.8750,56435
Alger County,4,1998,2573.5283,136397
Alger County,4,1999,2105.1163,90520
Alger County,4,2000,1505.9697,99394
Alger County,4,2001,1986.3000,178767
Alger County,4,2002,1590.8548,197266
Allamakee County,1,1998,1668.7241,48393
Allamakee County,1,1999,1713.9000,34278
Allamakee County,1,2000,1551.3500,31027
Allamakee County,1,2001,1748.6364,19235
Allamakee County,1,2002,1844.1800,92209
Allamakee County,2,1998,1964.9167,23579
Allamakee County,2,2000,1906.1818,41936
Allamakee County,2,2001,1669.8125,26717
Allamakee County,2,2002,2023.8000,30357
Allamakee County,3,1998,1834.4872,71545
Allamakee County,3,1999,1678.8649,62118
Allamakee County,3,2000,1942.9057,102974
Allamakee County,3,2001,2281.8667,102684
Allamakee County,3,2002,1763.7143,12346
Allamakee County,4,1998,2194.7750,87791
Allamakee County,4,1999,2568.6250,164392
Allamakee County,4,2000,1835.0435,84412
Allamakee County,4,2001,1866.5472,98927
Allamakee County,4,2002,2441.8519,65930
Allegan County,1,1998,1724.0000,13792
Allegan County,1,2000,1852.0000,18520
Allegan County,1,2002,2215.7105,84197
Allegan County,2,1998,1360.8000,34020
Allegan County,2,2000,2126.2143,29767
Allegan County,2,2001,1890.1458,90727
Allegan County,3,1998,2284.1429,79945
Allegan County,3,1999,2101.5385,109280
Allegan County,3,2000,1516.9730,56128
Allegan County,3,2001,1684.8387,52230
Allegan County,3,2002,1317.1379,38197
Allegan County,4,1998,1965.0227,86461
Allegan County,4,1999,1903.0488,156050
Allegan County,4,2000,1572.4651,67616
Allegan County,4,2001,1773.5062,143654
Allegan County,4,2002,1776.2973,65723
Allegany County,1,1998,1505.7541,91851
Allegany County,1,1999,1483.7250,118698
Allegany County,1,2000,1629.6250,78222
Allegany County,1,2001,2140.0000,222560
Allegany County,1,2002,1686.0727,92734
Allegany County,1,2003,1445.8333,8675
Allegany County,2,1998,2320.5122,95141
Allegany County,2,1999,2094.4789,148708
Allegany County,2,2000,1788.3676,121609
Allegany County,2,2001,1609.3500,32187
Allegany County,2,2002,1814.9833,108899
Allegany County,3,1998,1675.3492,105547
Allegany County,3,1999,2072.6000,331616
Allegany County,3,2000,2102.3535,208133
Allegany County,3,2001,2037.9901,205837
Allegany County,3,2002,1839.1196,169199
Allegany County,4,1998,1973.6974,300002
Allegany County,4,1999,1760.6541,234167
Allegany County,4,2000,1807.8935,305534
Allegany County,4,2001,1861.2189,374105
Allegany County,4,2002,1857.5419,377081
Alleghany County,1,1998,2093.1974,159083
Alleghany County,1,1999,2271.5800,113579
Alleghany County,1,2000,1231.5556,99756
Alleghany County,1,2001,1748.6145,145135
Alleghany County,1,2002,2243.5972,161539
Alleghany County,2,1998,2674.2903,82903
Alleghany County,2,1999,2632.5238,55283
Alleghany County,2,2000,1650.5316,130392
Alleghany County,2,2001,1934.4643,54165
Alleghany County,2,2002,2056.4286,100765
Alleghany County,3,1998,2106.6667,195920
Alleghany County,3,1999,1683.2530,139710
Alleghany County,3,2000,1676.2800,167628
Alleghany County,3,2001,1616.9867,121274
Alleghany County,3,2002,2059.5270,152405
Alleghany County,4,1998,1843.6192,440625
Alleghany County,4,1999,2122.3380,301372
Alleghany County,4,2000,2067.0583,425814
Alleghany County,4,2001,1596.6429,156471
Alleghany County,4,2002,1815.6524,297767
Allegheny County,1,1998,3074.9231,39974
Allegheny County,1,1999,1110.4167,13325
Allegheny County,1,2001,2045.9783,94115
Allegheny County,1,2002,1544.3235,52507
Allegheny County,2,1998,2093.1059,177914
Allegheny County,2,1999,1158.6364,12745
Allegheny County,2,2001,1777.4000,26661
Allegheny County,2,2002,1744.3333,20932
Allegheny County,3,1998,2324.8261,53471
Allegheny County,3,1999,1682.2308,131214
Allegheny County,3,2000,2356.1250,150792
Allegheny County,3,2001,1982.7708,95173
Allegheny County,3,2002,2468.9706,83945
Allegheny County,4,1998,1196.2667,35888
Allegheny County,4,1999,2023.9859,143703
Allegheny County,4,2000,2693.8689,164326
Allegheny County,4,2001,1794.8939,118463
Allegheny County,4,2002,2098.7500,302220
Allen County,1,1998,1988.0970,266405
Allen County,1,1999,2302.0313,220995
Allen County,1,2000,2112.1655,306264
Allen County,1,2001,1695.0634,240699
Allen County,1,2002,2620.2623,159836
Allen County,1,2003,1834.7692,47704
Allen County,2,1998,1890.2500,52927
Allen County,2,1999,1847.6963,395407
Allen County,2,2000,1866.8100,186681
Allen County,2,2001,2280.7838,253167
Allen County,2,2002,2029.0440,184643
Allen County,3,1998,1974.3333,349457
Allen County,3,1999,1872.7020,282778
Allen County,3,2000,2057.8306,376583
Allen County,3,2001,1742.8880,451408
Allen County,3,2002,1955.1469,412536
Allen County,4,1998,2107.2961,491000
Allen County,4,1999,1735.6333,416552
Allen County,4,2000,1856.3596,542057
Allen County,4,2001,1940.8226,481324
Allen County,4,2002,1984.4000,545710
Allen Parish,1,1998,1823.3158,69286
Allen Parish,1,1999,1711.6000,8558
Allen Parish,1,2000,2672.6000,53452
Allen Parish,1,2001,1918.8077,99778
Allen Parish,1,2002,1817.5294,30898
Allen Parish,2,1998,1603.5238,33674
Allen Parish,2,1999,1810.4000,27156
Allen Parish,2,2000,2375.6857,83149
Allen Parish,2,2001,1507.5652,34674
Allen Parish,2,2002,1095.6111,39442
Allen Parish,3,1998,1435.5185,38759
Allen Parish,3,1999,2171.1471,147638
Allen Parish,3,2000,1850.9518,153629
Allen Parish,3,2001,2026.4211,77004
Allen Parish,3,2002,2017.7179,78691
Allen Parish,4,1998,1376.8750,44060
Allen Parish,4,1999,1865.0000,98845
Allen Parish,4,2000,1922.9841,121148
Allen Parish,4,2001,2200.6263,217862
Allen Parish,4,2002,1562.2778,56242
Allendale County,1,1998,2085.5000,50052
Allendale County,1,1999,1460.4643,40893
Allendale County,1,2000,1799.4667,26992
Allendale County,1,2001,1585.7059,26957
Allendale County,1,2002,1261.4375,20183
Allendale County,2,1998,1863.9697,61511
Allendale County,2,2000,2252.6875,36043
Allendale County,2,2001,2208.7241,64053
Allendale County,2,2002,1595.3333,23930
Allendale County,3,1998,1852.6667,72254
Allendale County,3,1999,1439.6833,86381
Allendale County,3,2000,2165.1579,41138
Allendale County,3,2001,2026.2432,74971
Allendale County,3,2002,1485.2000,44556
Allendale County,4,1998,2733.8788,90218
Allendale County,4,1999,2383.0526,135834
Allendale County,4,2000,2060.6036,228727
Allendale County,4,2001,1661.5217,114645
Allendale County,4,2002,1366.8000,123012
Alpena County,1,1998,2350.9000,70527
Alpena County,1,1999,1431.0909,15742
Alpena County,1,2000,1976.7742,61280
Alpena County,1,2001,1178.2500,14139
Alpena County,1,2002,1691.7000,16917
Alpena County,2,1998,2070.6667,43484
Alpena County,2,1999,1713.5435,157646
Alpena County,2,2000,1485.6383,139650
Alpena County,2,2001,2175.4167,26105
Alpena County,2,2002,2135.5385,55524
Alpena County,3,1998,2127.8500,85114
Alpena County,3,1999,2094.7634,194813
Alpena County,3,2000,1974.0625,126340
Alpena County,3,2001,1596.6000,135711
Alpena County,3,2002,2511.6667,30140
Alpena County,4,1998,1849.8814,109143
Alpena County,4,1999,1415.3889,76431
Alpena County,4,2000,2596.6923,67514
Alpena County,4,2001,1710.6364,75268
Alpena County,4,2002,1887.3704,101918
Alpine County,1,1998,2554.8000,51096
Alpine County,1,1999,1865.5714,78354
Alpine County,1,2000,2360.6486,87344
Alpine County,2,1998,2162.4545,71361
Alpine County,2,1999,1601.4211,30427
Alpine County,2,2000,940.2222,8462
Alpine County,2,2001,1297.3333,27244
Alpine County,2,2002,2497.5000,19980
Alpine County,3,1998,1772.4531,113437
Alpine County,3,1999,2156.8462,56078
Alpine County,3,2000,1905.9032,59083
Alpine County,3,2001,1747.9394,57682
Alpine County,3,2002,1944.4561,110834
Alpine County,4,1998,1915.4923,124507
Alpine County,4,1999,1669.2951,101827
Alpine County,4,2000,2028.9851,135942
Alpine County,4,2001,2015.7778,90710
Alpine County,4,2002,1680.4217,139475
Amador County,1,1998,2773.0000,19411
Amador County,1,1999,2260.1081,83624
Amador County,1,2000,1316.8936,61894
Amador County,1,2001,2313.6071,64781
Amador County,1,2002,2331.3871,72273
Amador County,2,1998,1557.7188,49847
Amador County,2,1999,1809.7667,54293
Amador County,2,2000,2175.5294,73968
Amador County,2,2001,1501.7324,106623
Amador County,2,2002,2391.8367,117200
Amador County,3,1998,2252.9559,153201
Amador County,3,1999,1685.8488,144983
Amador County,3,2000,1702.3077,199170
Amador County,3,2001,1808.6963,244174
Amador County,3,2002,2172.6328,278097
Amador County,4,1998,1698.5591,157966
Amador County,4,1999,1973.4404,215105
Amador County,4,2000,2071.3958,397708
Amador County,4,2001,1649.6484,211155
Amador County,4,2002,1749.2720,218659
Amelia County,1,1998,1441.1579,27382
Amelia County,1,2001,2498.3200,62458
Amelia County,1,2002,1174.5714,16444
Amelia County,2,1998,1765.0833,42362
Amelia County,2,2000,2621.9000,52438
Amelia County,2,2001,2399.5179,134373
Amelia County,2,2002,1534.7500,12278
Amelia County,3,1998,1523.6667,18284
Amelia County,3,1999,2460.1795,95947
Amelia County,3,2000,2349.5769,61089
Amelia County,3,2001,1462.2667,43868
Amelia County,3,2002,1564.8462,20343
Amelia County,4,1998,2052.8448,119065
Amelia County,4,1999,1697.2642,89955
Amelia County,4,2000,2206.9559,150073
Amelia County,4,2001,914.3235,31087
Amelia County,4,2002,2177.9368,206904
Amherst County,1,1998,3014.0909,33155
Amherst County,1,1999,1680.6207,48738
Amherst County,1,2000,1876.8333,78827
Amherst County,1,2001,2056.3600,51409
Amherst County,1,2002,1972.0263,74937
Amherst County,2,1998,1587.2414,138090
Amherst County,2,1999,2237.2273,49219
Amherst County,2,2000,1735.5610,71158
Amherst County,2,2001,1966.0152,129757
Amherst County,2,2002,2572.1739,59160
Amherst County,3,1998,1198.0000,16772
Amherst County,3,1999,1592.9167,95575
