c_customer_sk,avg(ss_quantity),avg(ss_sales_price),sum(ss_quantity),sum(ss_sales_price)
195,49.75555555555555,37.9111,2239,1706
196,49.833333333333336,32.5625,2392,1563
197,43.48571428571429,52.6286,1522,1842
198,58.2,40.3000,582,403
199,49.41935483870968,46.4839,1532,1441
200,43.44117647058823,32.5294,1477,1106
201,56.47826086956522,32.7826,1299,754
202,49.73684210526316,31.1579,945,592
203,50.5,43.4048,2121,1823
204,51.375,43.0417,1233,1033
205,40.285714285714285,27.6786,1128,775
206,43.09090909090909,39.6364,474,436
207,54.02127659574468,37.7872,2539,1776
208,58.28947368421053,28.1053,2215,1068
210,54.90384615384615,32.2308,2855,1676
211,61.18181818181818,28.7273,673,316
212,46.91891891891892,36.0270,1736,1333
213,39.46666666666667,40.4667,592,607
214,42.95652173913044,32.0435,988,737
215,45.411764705882355,42.8824,1544,1458
216,46.24,48.0000,1156,1200
217,42.96153846153846,35.2692,1117,917
218,47.642857142857146,26.3571,667,369
219,47.80487804878049,44.3171,1960,1817
220,57.19047619047619,31.1429,1201,654
221,48.98461538461538,37.2615,3184,2422
222,44.5,33.4545,979,736
223,58.6,46.8000,586,468
224,43.40625,39.0625,1389,1250
225,49.63265306122449,37.1224,2432,1819
226,58.1578947368421,34.0000,1105,646
227,47.513513513513516,41.3243,1758,1529
228,50.26,37.3400,2513,1867
229,52.45454545454545,36.4848,1731,1204
230,51.714285714285715,41.2857,1448,1156
231,47.30434782608695,43.8261,2176,2016
232,43.5,20.5000,522,246
234,62.55555555555556,44.7778,1126,806
235,41.4,39.4000,1035,985
236,54.875,37.9063,1756,1213
237,60.45454545454545,18.4545,665,203
238,53.535714285714285,31.9643,1499,895
239,53.30434782608695,31.3043,1226,720
240,46.44444444444444,37.5278,1672,1351
242,51.16,26.0000,1279,650
243,55.0,37.2500,440,298
244,52.18292682926829,32.3780,4279,2655
245,60.75,35.3553,4617,2687
246,54.22857142857143,34.4286,1898,1205
247,46.84146341463415,32.7073,3841,2682
248,45.6,40.6000,1596,1421
249,59.142857142857146,37.4286,414,262
250,46.625,24.4375,746,391
251,38.833333333333336,52.1667,466,626
252,59.44444444444444,11.2222,535,101
254,53.787234042553195,35.2766,2528,1658
255,54.54545454545455,33.5000,1200,737
256,44.06666666666667,33.1333,661,497
257,43.906976744186046,37.0465,1888,1593
258,49.755102040816325,33.6531,2438,1649
260,49.22727272727273,43.5682,2166,1917
261,41.392857142857146,35.9643,1159,1007
262,40.75,48.6250,326,389
263,44.58620689655172,38.1724,1293,1107
264,54.857142857142854,37.4694,2688,1836
265,39.0,36.6000,1755,1647
266,50.375,33.1250,403,265
267,49.23529411764706,36.7647,837,625
268,47.542857142857144,41.1714,1664,1441
269,44.75,39.6500,895,793
270,52.19565217391305,34.7391,2401,1598
271,50.904761904761905,40.9524,1069,860
272,54.19672131147541,36.4918,3306,2226
273,42.13636363636363,47.9545,927,1055
274,50.4,47.4364,2772,2609
275,50.041666666666664,48.8750,1201,1173
276,41.55555555555556,31.1111,374,280
277,50.63157894736842,30.4474,1924,1157
278,46.333333333333336,45.6667,1807,1781
279,45.16,41.8000,1129,1045
280,50.945945945945944,48.5405,1885,1796
281,51.57142857142857,39.1905,1083,823
282,48.78947368421053,33.2632,927,632
283,60.0,29.1250,1440,699
284,56.90909090909091,39.1818,626,431
285,49.970588235294116,35.6765,1699,1213
286,49.13636363636363,42.3182,2162,1862
287,42.93333333333333,37.6667,1288,1130
288,51.36363636363637,34.5758,1695,1141
291,50.744680851063826,40.1489,2385,1887
292,60.266666666666666,47.2000,904,708
293,50.023809523809526,35.2381,2101,1480
294,49.575,42.8250,1983,1713
296,52.266666666666666,33.0000,1568,990
297,35.1,30.2000,702,604
298,58.333333333333336,18.0000,700,216
299,35.57142857142857,64.7143,249,453
300,52.86666666666667,48.0667,793,721
301,57.125,45.7917,1371,1099
302,53.666666666666664,58.0000,805,870
303,42.22784810126582,38.9747,3336,3079
305,50.21739130434783,29.3478,1155,675
306,46.142857142857146,31.0000,323,217
307,57.869565217391305,24.7391,1331,569
308,44.22,34.1600,2211,1708
309,55.44444444444444,36.9167,1996,1329
310,51.09090909090909,39.8182,562,438
311,59.22222222222222,33.7222,2132,1214
312,51.056603773584904,29.6981,2706,1574
313,37.9,37.7000,379,377
314,54.791666666666664,42.8333,1315,1028
315,65.45454545454545,34.0909,720,375
316,44.93333333333333,42.6667,674,640
317,45.62068965517241,35.5172,1323,1030
318,50.29032258064516,40.0000,1559,1240
319,49.97222222222222,37.9167,1799,1365
320,51.976190476190474,37.0238,2183,1555
321,48.53846153846154,41.4615,1262,1078
322,57.0,34.6176,1938,1177
324,49.014925373134325,34.7015,3284,2325
325,47.411764705882355,34.7941,1612,1183
326,51.31818181818182,47.2727,1129,1040
327,57.77272727272727,46.0000,1271,1012
328,57.016949152542374,31.1356,3364,1837
329,52.833333333333336,23.8333,317,143
330,54.470588235294116,33.8235,926,575
331,50.03448275862069,48.8276,1451,1416
332,61.81818181818182,62.2727,680,685
333,45.375,56.2500,363,450
334,55.85,30.7000,1117,614
335,44.22222222222222,51.2000,1990,2304
336,54.86153846153846,34.6308,3566,2251
337,70.75,34.0000,566,272
339,52.43478260869565,29.9348,2412,1377
340,63.333333333333336,42.7778,570,385
341,47.94117647058823,35.7059,815,607
342,53.13793103448276,36.6897,3082,2128
343,47.666666666666664,33.2593,1287,898
344,61.666666666666664,54.5556,555,491
345,51.5,33.8125,824,541
346,47.13333333333333,34.4000,707,516
347,52.02857142857143,31.7143,1821,1110
348,50.4,31.5000,1008,630
349,46.028985507246375,44.0870,3176,3042
350,61.964285714285715,39.9107,3470,2235
351,47.09090909090909,31.9091,518,351
352,52.25,34.1250,2926,1911
353,50.583333333333336,34.9167,1821,1257
355,45.979166666666664,39.2708,2207,1885
356,53.25,40.2917,1278,967
357,46.57142857142857,34.7619,1956,1460
360,56.0,25.8889,504,233
361,46.8,41.9200,2340,2096
362,42.208333333333336,54.0000,1013,1296
363,45.72727272727273,25.8182,1006,568
364,44.095238095238095,42.7143,926,897
365,53.51282051282051,41.0769,2087,1602
366,53.09090909090909,28.0909,1752,927
367,47.0,24.0000,376,192
368,47.86206896551724,34.3448,1388,996
369,49.357142857142854,22.5357,1382,631
371,46.55555555555556,37.9556,2095,1708
372,56.125,34.7500,449,278
373,54.926829268292686,42.1220,2252,1727
374,62.36363636363637,47.8182,686,526
375,51.52,40.7200,1288,1018
376,48.42424242424242,42.7273,1598,1410
377,61.25,37.4000,1225,748
378,59.333333333333336,28.2500,712,339
379,53.0,21.7895,1007,414
380,52.875,28.7917,1269,691
381,58.833333333333336,52.0000,353,312
382,52.38028169014085,41.5070,3719,2947
384,48.23076923076923,31.6923,627,412
385,47.945945945945944,37.3243,1774,1381
387,39.375,15.3750,315,123
388,60.6,21.9000,606,219
389,45.96296296296296,36.4074,1241,983
390,51.91304347826087,39.6522,1194,912
391,55.642857142857146,39.5952,2337,1663
392,45.255319148936174,28.7234,2127,1350
393,46.23255813953488,34.0000,1988,1462
394,56.67741935483871,42.6129,1757,1321
395,60.8125,42.3750,973,678
396,51.45,40.4750,2058,1619
397,47.193548387096776,38.3548,1463,1189
399,53.7,50.4000,537,504
400,57.13333333333333,36.9333,857,554
401,55.65,42.2250,2226,1689
402,50.71875,28.9063,1623,925
403,51.57692307692308,36.1538,2682,1880
404,45.794117647058826,40.3529,3114,2744
405,60.333333333333336,51.5000,724,618
406,53.8,36.4000,1345,910
407,49.140625,31.6563,3145,2026
408,48.05263157894737,39.1316,1826,1487
409,55.9375,36.4688,1790,1167
410,49.5679012345679,39.7160,4015,3217
411,47.549019607843135,33.0196,2425,1684
412,55.1025641025641,42.5641,2149,1660
413,50.72727272727273,43.9394,1674,1450
414,42.973684210526315,32.1316,1633,1221
415,59.27272727272727,43.4545,652,478
416,40.07692307692308,38.9231,521,506
417,62.77777777777778,27.6667,2260,996
418,51.0,47.8125,816,765
419,53.774193548387096,28.8387,1667,894
421,60.23529411764706,31.4706,1024,535
422,45.0,41.1111,1620,1480
423,44.12244897959184,47.0612,2162,2306
424,50.924528301886795,35.6038,2699,1887
425,53.46666666666667,50.5333,802,758
426,65.81818181818181,27.0909,724,298
429,46.411764705882355,53.7647,789,914
430,40.1,39.3000,401,393
431,58.0,46.0000,696,552
432,58.888888888888886,30.7037,1590,829
433,47.14,36.0600,2357,1803
434,40.26190476190476,44.5952,1691,1873
435,54.83783783783784,33.2973,2029,1232
436,34.6,56.7000,346,567
437,54.78260869565217,37.4783,2520,1724
438,51.75,35.3750,1656,1132
440,60.407407407407405,39.8148,1631,1075
441,53.785714285714285,31.5000,1506,882
442,54.7,48.0000,547,480
444,44.08,26.7200,1102,668
446,51.161764705882355,39.7941,3479,2706
447,50.83018867924528,41.7547,2694,2213
448,41.57142857142857,36.5714,291,256
449,44.714285714285715,38.8286,1565,1359
451,50.65217391304348,37.1304,1165,854
452,41.48571428571429,37.7429,1452,1321
453,59.54545454545455,45.7273,655,503
454,51.774193548387096,36.4516,1605,1130
455,61.6,28.5000,616,285
456,57.659574468085104,30.3404,2710,1426
457,54.03030303030303,39.2727,1783,1296
458,53.57142857142857,35.2653,2625,1728
459,45.35897435897436,34.1538,1769,1332
460,50.72222222222222,46.1111,913,830
461,51.333333333333336,47.4444,462,427
463,51.4,43.5455,2827,2395
464,55.88235294117647,24.8235,950,422
465,47.55,47.9000,951,958
466,43.0,36.6250,344,293
467,49.06666666666667,42.2667,736,634
468,54.1764705882353,42.4118,921,721
469,48.369565217391305,42.5217,2225,1956
470,52.611111111111114,48.3611,1894,1741
471,48.607142857142854,37.5714,1361,1052
472,56.53846153846154,37.6923,735,490
473,53.214285714285715,40.4643,1490,1133
474,50.98245614035088,40.7368,2906,2322
475,43.875,36.7500,1053,882
476,55.827586206896555,32.0345,1619,929
477,53.333333333333336,37.0000,1120,777
478,46.3,48.5750,1852,1943
479,53.375,21.7500,427,174
480,56.54545454545455,50.3182,1244,1107
482,42.578947368421055,20.8947,809,397
483,30.285714285714285,24.1429,212,169
484,48.72727272727273,50.0909,1072,1102
485,58.470588235294116,26.2941,994,447
486,37.27272727272727,46.5455,410,512
487,54.27906976744186,39.6279,2334,1704
488,53.4390243902439,37.2683,2191,1528
489,46.6,35.7714,1631,1252
490,48.475,46.0250,1939,1841
491,46.65909090909091,35.1591,2053,1547
492,54.1875,42.2500,2601,2028
493,42.9,37.5000,429,375
495,41.6,42.1000,416,421
496,49.75,33.6818,2189,1482
497,54.80952380952381,37.8095,1151,794
498,53.92,37.7200,2696,1886
499,74.83333333333333,33.1667,449,199
500,53.648648648648646,34.4595,1985,1275
501,51.285714285714285,31.0000,1795,1085
502,58.473684210526315,26.7895,1111,509
503,50.57142857142857,39.3571,708,551
505,33.15384615384615,38.2692,862,995
506,52.785714285714285,41.3571,739,579
507,57.55555555555556,49.7778,518,448
508,50.70967741935484,38.5806,1572,1196
509,50.32692307692308,36.5385,2617,1900
510,51.794117647058826,34.0294,1761,1157
511,49.333333333333336,33.7949,1924,1318
512,43.0,39.4286,301,276
513,41.02272727272727,34.8864,1805,1535
514,47.30232558139535,43.6512,2034,1877
515,56.114285714285714,38.1429,1964,1335
517,46.22727272727273,34.2273,1017,753
518,52.46153846153846,34.6154,682,450
521,58.46153846153846,37.0000,1520,962
522,63.24324324324324,43.4595,2340,1608
523,63.92307692307692,39.7308,1662,1033
524,53.94736842105263,38.8421,1025,738
525,54.121212121212125,43.2121,1786,1426
526,44.76470588235294,37.5294,761,638
527,52.898305084745765,36.4407,3121,2150
528,57.2,35.9000,1144,718
529,57.77777777777778,42.2222,520,380
530,47.35294117647059,41.5000,1610,1411
531,44.4,46.7333,666,701
532,50.36507936507937,33.1746,3173,2090
533,50.09090909090909,24.0909,551,265
534,44.208333333333336,33.2500,1061,798
535,47.53333333333333,48.2000,713,723
536,46.31666666666667,35.8833,2779,2153
537,52.6,29.6571,1841,1038
538,47.90909090909091,36.8182,527,405
539,46.2,40.1333,693,602
540,48.04761904761905,34.5238,1009,725
541,43.875,58.2500,351,466
542,48.05555555555556,33.4444,865,602
544,57.27272727272727,42.6364,630,469
545,46.35849056603774,31.9434,2457,1693
546,44.46511627906977,36.1628,1912,1555
547,41.7,33.3000,417,333
548,40.142857142857146,44.3810,843,932
549,54.25,35.6250,1736,1140
550,41.31578947368421,31.0000,785,589
551,54.08695652173913,36.7391,1244,845
552,51.6875,43.0781,3308,2757
553,44.3125,45.1250,709,722
554,40.416666666666664,33.0000,485,396
555,56.85,41.6000,1137,832
556,38.63636363636363,37.5455,425,413
557,49.2037037037037,45.2407,2657,2443
558,51.19230769230769,39.7692,1331,1034
559,50.21875,25.0000,1607,800
560,53.44444444444444,26.3889,962,475
561,43.5,36.1034,2523,2094
562,43.82258064516129,40.0968,2717,2486
563,46.91111111111111,45.2222,2111,2035
564,47.06666666666667,33.8000,1412,1014
565,61.357142857142854,39.0357,1718,1093
566,54.5625,46.1875,873,739
567,33.0,31.0000,231,217
569,51.40425531914894,44.3830,2416,2086
570,45.375,34.3125,726,549
571,49.4264705882353,30.4853,3361,2073
572,56.473684210526315,28.8947,1073,549
573,33.84615384615385,28.8077,880,749
574,38.0,51.4583,912,1235
575,56.054545454545455,37.4727,3083,2061
576,51.509803921568626,40.1961,2627,2050
577,64.38888888888889,42.5000,1159,765
578,51.53947368421053,42.6711,3917,3243
579,55.9375,40.5000,895,648
580,52.94805194805195,36.5844,4077,2817
583,56.074074074074076,29.5185,1514,797
584,53.63636363636363,52.5455,1180,1156
585,45.8,33.0000,458,330
586,45.16216216216216,46.5135,1671,1721
587,47.10526315789474,34.8421,895,662
589,52.61363636363637,38.8409,2315,1709
590,50.529411764705884,30.9020,2577,1576
591,45.03448275862069,33.4138,1306,969
593,54.142857142857146,36.2857,758,508
594,53.333333333333336,57.1111,480,514
595,47.25925925925926,35.6296,1276,962
596,43.666666666666664,12.3333,262,74
598,48.75,41.7857,1365,1170
599,55.375,23.0625,886,369
600,38.63636363636363,35.7273,425,393
601,46.3,24.0000,463,240
602,49.773809523809526,40.9405,4181,3439
603,48.80952380952381,35.1429,1025,738
604,48.07843137254902,32.9216,2452,1679
605,60.083333333333336,46.2500,721,555
606,50.575,41.5250,2023,1661
608,47.76923076923077,34.2821,1863,1337
609,58.76,33.4000,1469,835
610,57.82608695652174,36.8696,1330,848
611,56.69230769230769,39.7949,2211,1552
612,50.77777777777778,34.7778,457,313
613,57.55,30.0500,1151,601
614,42.833333333333336,39.4167,514,473
615,42.95652173913044,35.3913,988,814
617,45.0,19.4286,630,272
618,48.0,33.0811,1776,1224
619,51.09090909090909,49.1818,562,541
620,40.36363636363637,38.1364,888,839
621,59.129629629629626,34.4074,3193,1858
622,47.0,36.7000,470,367
623,48.63636363636363,45.0000,1070,990
624,53.77272727272727,39.1364,1183,861
625,55.73913043478261,32.7391,1282,753
626,65.36363636363636,48.9091,719,538
627,56.421052631578945,27.6316,1072,525
629,41.65,39.9000,833,798
630,43.58536585365854,42.4878,1787,1742
631,48.0,37.4667,720,562
632,41.81818181818182,37.3939,1380,1234
634,52.07142857142857,34.4524,2187,1447
635,57.03333333333333,41.9667,1711,1259
636,44.903225806451616,41.7742,1392,1295
637,57.77777777777778,42.8519,1560,1157
638,49.541666666666664,33.9583,1189,815
639,42.38461538461539,45.0000,551,585
640,60.03703703703704,37.5185,1621,1013
641,43.91304347826087,48.5217,1010,1116
642,51.583333333333336,29.4583,1238,707
643,58.1063829787234,41.1277,2731,1933
645,51.8125,43.3125,1658,1386
646,52.17391304347826,32.9565,1200,758
647,60.65217391304348,39.0217,2790,1795
648,50.206896551724135,44.1034,1456,1279
649,51.0,33.3714,1785,1168
650,55.422222222222224,38.7778,2494,1745
651,48.34615384615385,31.3846,1257,816
652,53.05,30.6000,1061,612
655,47.55882352941177,27.7647,1617,944
656,54.22727272727273,51.2273,1193,1127
657,43.53846153846154,35.8462,566,466
658,59.0,29.9091,649,329
659,55.42857142857143,53.1429,1552,1488
660,45.375,30.1875,726,483
661,42.421052631578945,35.5263,806,675
662,40.583333333333336,30.5000,487,366
663,42.0,39.0588,1428,1328
664,52.69230769230769,36.3846,685,473
665,45.86363636363637,37.5606,3027,2479
666,43.46,48.8800,2173,2444
667,35.22222222222222,26.0000,317,234
668,39.72727272727273,31.5455,437,347
669,49.8235294117647,34.2941,847,583
670,53.2289156626506,38.3133,4418,3180
671,53.73684210526316,32.9211,2042,1251
672,58.71875,33.8125,1879,1082
673,50.509803921568626,29.8039,2576,1520
674,50.35294117647059,22.9412,856,390
675,44.96774193548387,35.1935,1394,1091
678,41.77272727272727,46.9545,919,1033
679,51.42424242424242,31.2121,1697,1030
680,50.38461538461539,28.4359,1965,1109
681,46.642857142857146,42.1786,1306,1181
683,44.0958904109589,38.4932,3219,2810
684,45.46,39.7400,2273,1987
685,53.63157894736842,35.7895,1019,680
686,44.55172413793103,38.8621,1292,1127
687,46.11864406779661,36.1356,2721,2132
688,47.130434782608695,35.6087,1084,819
689,53.44444444444444,32.2593,1443,871
690,45.694117647058825,37.8235,3884,3215
691,45.166666666666664,38.9167,542,467
692,54.0,31.0909,594,342
693,52.083333333333336,34.4167,1875,1239
694,51.0625,37.8125,817,605
695,52.416666666666664,21.7500,629,261
696,49.84782608695652,47.8696,2293,2202
697,45.4,31.8400,2270,1592
698,64.42857142857143,22.5000,902,315
699,42.76923076923077,29.1923,1112,759
700,52.53191489361702,39.1915,2469,1842
701,54.583333333333336,38.9583,1310,935
702,50.470588235294116,49.7059,1716,1690
703,53.69230769230769,37.0769,698,482
704,55.3448275862069,37.2069,1605,1079
705,48.625,28.6667,1167,688
706,53.34375,47.9688,1707,1535
707,43.75,48.8929,1225,1369
708,53.625,62.0000,429,496
709,57.357142857142854,39.5714,2409,1662
710,44.473684210526315,35.8947,1690,1364
711,52.666666666666664,36.6984,3318,2312
712,53.333333333333336,31.6667,480,285
713,51.666666666666664,30.1429,1085,633
714,57.125,43.8750,457,351
715,52.85294117647059,47.0588,1797,1600
716,55.583333333333336,36.2778,2001,1306
717,48.056603773584904,43.6792,2547,2315
718,68.0,49.4444,612,445
719,45.958333333333336,31.8333,1103,764
720,53.95652173913044,28.6522,1241,659
722,48.348837209302324,35.6744,2079,1534
723,63.766666666666666,34.7000,1913,1041
724,44.875,41.3333,1077,992
725,49.078947368421055,39.7632,1865,1511
726,59.55172413793103,37.3448,3454,2166
727,49.54545454545455,38.9394,1635,1285
729,52.13333333333333,38.7333,782,581
730,48.76923076923077,49.5385,634,644
731,56.27906976744186,54.6977,2420,2352
732,47.69230769230769,41.5385,620,540
733,53.76744186046512,36.6279,2312,1575
735,54.88,35.0000,1372,875
736,52.45454545454545,30.7273,2308,1352
738,48.32142857142857,40.8571,1353,1144
739,50.31818181818182,36.8864,2214,1623
740,57.10526315789474,35.4211,1085,673
741,50.22222222222222,32.9444,904,593
742,49.473684210526315,43.5789,940,828
743,51.6,37.8667,1548,1136
745,39.6,51.5000,396,515
746,48.627906976744185,41.3953,2091,1780
747,36.888888888888886,43.8889,332,395
749,60.44444444444444,38.7778,544,349
750,57.6,46.6000,576,466
751,54.083333333333336,57.2500,649,687
752,49.86363636363637,42.8636,1097,943
753,60.25,26.7500,1205,535
754,47.142857142857146,33.7143,330,236
755,56.4,33.5600,1410,839
757,50.93333333333333,31.4667,1528,944
758,53.964285714285715,26.2143,1511,734
759,62.5,40.5000,500,324
760,48.48148148148148,37.2222,1309,1005
762,49.357142857142854,36.6071,1382,1025
763,45.5,36.5278,4914,3945
764,45.0,57.6923,585,750
765,40.21052631578947,35.3421,1528,1343
766,47.916666666666664,46.7083,1150,1121
768,41.57692307692308,29.2692,1081,761
769,46.61538461538461,36.3077,606,472
770,52.36842105263158,37.2632,995,708
771,43.628571428571426,42.5429,1527,1489
772,55.473684210526315,28.2105,1054,536
773,46.333333333333336,43.0400,3475,3228
774,38.125,38.5000,305,308
775,63.130434782608695,30.3478,1452,698
776,56.1578947368421,36.7895,1067,699
777,47.0,36.2857,1316,1016
778,43.95238095238095,29.0952,923,611
779,53.333333333333336,36.5556,1920,1316
780,46.12,40.2000,1153,1005
781,49.44444444444444,32.9259,1335,889
782,48.629629629629626,37.6296,1313,1016
783,37.57142857142857,41.6429,1578,1749
785,47.4390243902439,40.5122,1945,1661
786,63.285714285714285,25.4286,886,356
787,41.588235294117645,37.0000,2121,1887
788,48.878787878787875,31.0606,1613,1025
789,46.22641509433962,35.9057,2450,1903
790,58.86666666666667,38.1333,883,572
792,48.07692307692308,58.7692,625,764
793,61.25925925925926,33.3333,1654,900
794,35.36363636363637,38.8182,389,427
795,51.84615384615385,41.8462,1348,1088
796,47.44444444444444,32.7037,1281,883
797,53.25581395348837,33.8140,2290,1454
798,46.875,48.9583,1125,1175
799,66.72727272727273,52.7273,734,580
800,40.7,33.4667,1221,1004
801,48.372093023255815,50.2326,2080,2160
802,58.333333333333336,50.0833,1400,1202
