ws_sold_date_sk,d_day_name,avg(ws_sales_price),sum(ws_sales_price)
2450968,Wednesday,51.2287,11424
2450969,Thursday,51.0000,7344
2450970,Friday,52.1227,14021
2450971,Saturday,48.8632,9284
2450972,Sunday,48.3605,12477
2450973,Monday,53.7166,10045
2450974,Tuesday,47.8009,10086
2450975,Wednesday,53.9607,9605
2450976,Thursday,52.9276,15349
2450977,Friday,51.4806,13282
2450978,Saturday,47.4571,9966
2450979,Sunday,52.5288,10033
2450980,Monday,59.0648,14589
2450981,Tuesday,46.6702,13161
2450982,Wednesday,48.5150,9703
2450983,Thursday,47.7692,12420
2450984,Friday,48.2924,13377
2450985,Saturday,50.6336,6633
2450986,Sunday,47.9914,11182
2450987,Monday,47.9202,11405
2450988,Tuesday,53.0000,11872
2450989,Wednesday,56.3282,14758
2450990,Thursday,48.8664,12070
2450991,Friday,48.5023,10428
2450992,Saturday,53.9700,14410
2450993,Sunday,51.5136,11333
2450994,Monday,45.7708,11580
2450995,Tuesday,50.8745,12159
2450996,Wednesday,46.3235,12600
2450997,Thursday,49.8185,12903
2450998,Friday,52.0066,15654
2450999,Saturday,54.1968,13495
2451000,Sunday,51.4937,12307
2451001,Monday,47.7021,11210
2451002,Tuesday,50.6991,17187
2451003,Wednesday,50.2841,8850
2451004,Thursday,56.5579,16119
2451005,Friday,50.8579,9307
2451006,Saturday,51.1284,13140
2451007,Sunday,47.3918,11611
2451008,Monday,49.6545,9484
2451009,Tuesday,51.5849,13670
2451010,Wednesday,52.5592,15978
2451011,Thursday,51.5918,10112
2451012,Friday,49.8163,7323
2451013,Saturday,48.9188,11447
2451014,Sunday,53.2667,11186
2451015,Monday,47.2273,6234
2451016,Tuesday,47.4984,15057
2451017,Wednesday,58.1829,9542
2451018,Thursday,52.2268,16347
2451019,Friday,51.7395,13504
2451020,Saturday,55.2000,11592
2451021,Sunday,41.3935,8941
2451022,Monday,49.1488,11894
2451023,Tuesday,45.0659,7526
2451024,Wednesday,53.3315,9493
2451025,Thursday,54.1944,13657
2451026,Friday,45.4251,7586
2451027,Saturday,52.6150,11207
2451028,Sunday,50.9557,16102
2451029,Monday,50.0830,25943
2451030,Tuesday,50.4991,27724
2451031,Wednesday,48.0958,24096
2451032,Thursday,49.3121,24015
2451033,Friday,49.7830,23398
2451034,Saturday,50.3996,22579
2451035,Sunday,50.4792,26754
2451036,Monday,49.6544,22990
2451037,Tuesday,50.3975,27769
2451038,Wednesday,52.2669,37005
2451039,Thursday,47.4815,30768
2451040,Friday,52.5344,27528
2451041,Saturday,49.5542,27899
2451042,Sunday,49.3580,32675
2451043,Monday,51.5567,25005
2451044,Tuesday,49.3319,22742
2451045,Wednesday,48.2737,23461
2451046,Thursday,56.0211,23921
2451047,Friday,52.1336,24190
2451048,Saturday,48.9459,22613
2451049,Sunday,51.4964,28941
2451050,Monday,47.7872,25375
2451051,Tuesday,47.1795,20240
2451052,Wednesday,50.2115,35851
2451053,Thursday,52.6491,24008
2451054,Friday,55.1663,25211
2451055,Saturday,52.9831,31260
2451056,Sunday,45.3693,19781
2451057,Monday,52.0771,26351
2451058,Tuesday,51.4911,26106
2451059,Wednesday,48.8311,25441
2451060,Thursday,50.2707,29710
2451061,Friday,54.4729,24077
2451062,Saturday,49.4889,24596
2451063,Sunday,50.6882,21948
2451064,Monday,47.5916,19227
2451065,Tuesday,52.6324,25632
2451066,Wednesday,55.0889,32833
2451067,Thursday,53.5425,28324
2451068,Friday,51.4521,32209
2451069,Saturday,49.0741,19875
2451070,Sunday,51.5497,29538
2451071,Monday,52.0284,27523
2451072,Tuesday,51.4404,28035
2451073,Wednesday,51.6165,29473
2451074,Thursday,51.9483,24104
2451075,Friday,52.2542,31039
2451076,Saturday,54.3321,28470
2451077,Sunday,49.0575,24725
2451078,Monday,48.3421,27555
2451079,Tuesday,50.6250,16605
2451080,Wednesday,52.0904,29379
2451081,Thursday,49.1637,30039
2451082,Friday,45.5346,21037
2451083,Saturday,49.9952,31297
2451084,Sunday,51.2152,23559
2451085,Monday,52.6639,25384
2451086,Tuesday,49.6726,22154
2451087,Wednesday,48.9918,35862
2451088,Thursday,51.0661,25482
2451089,Friday,49.7277,29588
2451090,Saturday,53.3366,27575
2451091,Sunday,49.6377,27400
2451092,Monday,51.8458,24886
2451093,Tuesday,50.9283,31270
2451094,Wednesday,48.6475,17805
2451095,Thursday,49.8654,25930
2451096,Friday,50.2463,23867
2451097,Saturday,49.0407,22902
2451098,Sunday,48.0092,20932
2451099,Monday,47.6016,18041
2451100,Tuesday,47.4008,22942
2451101,Wednesday,51.5019,27399
2451102,Thursday,48.8496,17537
2451103,Friday,53.9659,34862
2451104,Saturday,55.7892,27783
2451105,Sunday,51.1478,20766
2451106,Monday,51.0311,27914
2451107,Tuesday,51.4298,23092
2451108,Wednesday,48.9027,23620
2451109,Thursday,49.5425,19817
2451110,Friday,49.8262,26956
2451111,Saturday,47.1426,24137
2451112,Sunday,49.1527,27034
2451113,Monday,48.7043,25034
2451114,Tuesday,48.5653,26031
2451115,Wednesday,50.1743,27345
2451116,Thursday,47.0112,25151
2451117,Friday,52.4679,26129
2451118,Saturday,49.0473,25946
2451119,Sunday,51.6510,34038
2451120,Monday,54.0598,33463
2451121,Tuesday,49.4855,35877
2451122,Wednesday,50.1353,42615
2451123,Thursday,50.7768,41637
2451124,Friday,50.4694,42899
2451125,Saturday,53.0668,37359
2451126,Sunday,52.8953,39407
2451127,Monday,46.9460,33895
2451128,Tuesday,52.7412,40558
2451129,Wednesday,51.9531,42082
2451130,Thursday,47.7808,38368
2451131,Friday,50.2656,41821
2451132,Saturday,50.5066,38284
2451133,Sunday,50.4572,37742
2451134,Monday,52.4768,50850
2451135,Tuesday,50.9709,33335
2451136,Wednesday,51.0606,39572
2451137,Thursday,53.9128,47605
2451138,Friday,52.5838,36388
2451139,Saturday,54.5759,35256
2451140,Sunday,50.0143,34960
2451141,Monday,51.9010,37732
2451142,Tuesday,52.3569,42252
2451143,Wednesday,51.3015,49352
2451144,Thursday,50.2976,43608
2451145,Friday,48.6579,33428
2451146,Saturday,51.8921,37985
2451147,Sunday,52.6571,42073
2451148,Monday,50.0930,43080
2451149,Tuesday,51.6513,42664
2451150,Wednesday,52.4682,44598
2451151,Thursday,51.3564,43807
2451152,Friday,53.2060,38734
2451153,Saturday,49.2689,41780
2451154,Sunday,51.5877,37659
2451155,Monday,50.5447,40183
2451156,Tuesday,50.4273,38829
2451157,Wednesday,51.0726,47855
2451158,Thursday,53.6925,44350
2451159,Friday,50.7536,42024
2451160,Saturday,48.4907,41799
2451161,Sunday,50.8837,38926
2451162,Monday,52.2932,45652
2451163,Tuesday,49.0186,36911
2451164,Wednesday,51.3102,35558
2451165,Thursday,51.9452,46439
2451166,Friday,48.4853,42958
2451167,Saturday,49.6038,43949
2451168,Sunday,47.4023,41240
2451169,Monday,49.7725,43750
2451170,Tuesday,51.2779,47791
2451171,Wednesday,49.0985,40359
2451172,Thursday,52.0449,42885
2451173,Friday,51.2482,36335
2451174,Saturday,46.6056,40174
2451175,Sunday,49.7694,36481
2451176,Monday,48.0558,39646
2451177,Tuesday,52.1672,30570
2451178,Wednesday,50.4770,33971
2451179,Thursday,49.8301,40761
2451180,Friday,48.9682,36922
2451181,Saturday,48.7917,48011
2451182,Sunday,54.8725,16352
2451183,Monday,54.3871,16860
2451184,Tuesday,53.6500,13949
2451185,Wednesday,49.2917,10647
2451186,Thursday,46.0987,10280
2451187,Friday,50.1514,10933
2451188,Saturday,46.0119,11595
2451189,Sunday,52.3068,13809
2451190,Monday,45.4769,8868
2451191,Tuesday,51.3459,8164
2451192,Wednesday,51.4708,12353
2451193,Thursday,47.6185,12857
2451194,Friday,52.7117,8592
2451195,Saturday,50.7419,17303
2451196,Sunday,48.1218,9480
2451197,Monday,45.2699,10231
2451198,Tuesday,48.7355,7554
2451199,Wednesday,52.3299,15071
2451200,Thursday,50.7662,7818
2451201,Friday,47.4295,14466
2451202,Saturday,45.5123,11105
2451203,Sunday,54.2615,10581
2451204,Monday,49.0538,6377
2451205,Tuesday,50.7724,7362
2451206,Wednesday,51.3815,8889
2451207,Thursday,58.1698,18498
2451208,Friday,50.5102,9900
2451209,Saturday,43.7136,9005
2451210,Sunday,46.8571,9184
2451211,Monday,51.2183,11729
2451212,Tuesday,52.1448,11524
2451213,Wednesday,51.8445,14672
2451214,Thursday,53.1636,14620
2451215,Friday,56.1286,7858
2451216,Saturday,47.8600,7179
2451217,Sunday,45.4948,13148
2451218,Monday,46.3433,6210
2451219,Tuesday,49.8631,15657
2451220,Wednesday,54.9471,12473
2451221,Thursday,55.7321,11648
2451222,Friday,48.8458,9818
2451223,Saturday,55.4246,9921
2451224,Sunday,48.4215,11718
2451225,Monday,51.3132,13598
2451226,Tuesday,54.2131,19083
2451227,Wednesday,50.2237,10999
2451228,Thursday,53.8985,10618
2451229,Friday,46.3901,8443
2451230,Saturday,51.3686,12123
2451231,Sunday,52.7604,15195
2451232,Monday,56.9245,9051
2451233,Tuesday,53.3527,11951
2451234,Wednesday,51.4304,11829
2451235,Thursday,47.6548,12009
2451236,Friday,55.6264,9679
2451237,Saturday,51.1789,9724
2451238,Sunday,48.4845,4703
2451239,Monday,48.1478,11074
2451241,Wednesday,51.4194,7970
2451242,Thursday,49.3438,11053
2451243,Friday,47.9275,12557
2451244,Saturday,53.7000,14499
2451245,Sunday,45.9917,11038
2451246,Monday,44.8767,13463
2451247,Tuesday,46.9907,10056
2451248,Wednesday,46.8778,10360
2451249,Thursday,52.2370,11022
2451250,Friday,46.7635,11270
2451251,Saturday,51.1475,12480
2451252,Sunday,53.2477,11395
2451253,Monday,53.0390,19041
2451254,Tuesday,54.8339,15518
2451255,Wednesday,53.1229,12537
2451256,Thursday,54.0321,8429
2451257,Friday,50.4717,16050
2451258,Saturday,51.1759,11054
2451259,Sunday,56.4219,10833
2451260,Monday,49.2365,7287
2451261,Tuesday,42.1880,9872
2451262,Wednesday,48.7990,9711
2451263,Thursday,52.0950,12607
2451264,Friday,52.5628,9619
2451265,Saturday,51.5109,9478
2451266,Sunday,53.3314,9013
2451267,Monday,53.4734,10053
2451268,Tuesday,51.3792,12331
2451269,Wednesday,57.0407,9811
2451270,Thursday,49.7101,8401
2451271,Friday,54.5381,12162
2451272,Saturday,49.0328,8973
2451273,Sunday,51.0159,16070
2451274,Monday,51.1806,11055
2451275,Tuesday,47.2332,13367
2451276,Wednesday,47.7647,11368
2451277,Thursday,45.9675,11308
2451278,Friday,47.3307,12022
2451279,Saturday,50.0153,9803
2451280,Sunday,48.5447,11942
2451281,Monday,48.4638,10032
2451282,Tuesday,49.9357,12434
2451283,Wednesday,51.9211,7892
2451284,Thursday,54.9185,10105
2451285,Friday,46.9372,9716
2451286,Saturday,50.1437,16748
2451287,Sunday,43.8727,7239
2451288,Monday,53.2905,9539
2451289,Tuesday,50.6211,8150
2451290,Wednesday,49.2804,10546
2451291,Thursday,53.8611,15512
2451292,Friday,45.9122,9412
2451293,Saturday,43.7684,7747
2451294,Sunday,47.8043,11234
2451295,Monday,53.8045,9631
2451296,Tuesday,50.6500,11143
2451297,Wednesday,47.3640,11841
2451298,Thursday,48.7903,12100
2451299,Friday,46.8341,10444
2451300,Saturday,53.7770,15434
2451301,Sunday,49.6992,12226
2451302,Monday,53.9819,11930
2451303,Tuesday,52.5799,16773
2451304,Wednesday,47.6000,14756
2451305,Thursday,48.8972,5232
2451306,Friday,47.1535,10138
2451307,Saturday,47.2200,11805
2451308,Sunday,50.8174,18091
2451309,Monday,46.3130,5326
2451310,Tuesday,47.7116,10258
2451311,Wednesday,53.7516,8654
2451312,Thursday,54.3279,16733
2451313,Friday,54.2279,7375
2451314,Saturday,46.5914,11974
2451315,Sunday,46.4939,7625
2451316,Monday,51.0563,11794
2451317,Tuesday,44.1646,10732
2451318,Wednesday,46.4503,15886
2451319,Thursday,46.7852,6316
2451320,Friday,50.5263,8640
2451321,Saturday,45.5882,3875
2451322,Sunday,48.8739,11241
2451323,Monday,57.8079,10232
2451324,Tuesday,53.6195,12118
2451325,Wednesday,50.5221,12580
2451326,Thursday,53.3896,16444
2451327,Friday,52.3136,11509
2451328,Saturday,50.3508,15357
2451329,Sunday,52.5657,10408
2451330,Monday,51.3880,9404
2451331,Tuesday,49.6708,12070
2451332,Wednesday,44.8010,8781
2451333,Thursday,52.8723,14910
2451334,Friday,50.4844,12924
2451335,Saturday,51.9724,15072
2451336,Sunday,48.7066,12615
2451337,Monday,52.8041,7815
2451338,Tuesday,49.8538,15006
2451339,Wednesday,49.3594,10711
2451340,Thursday,54.6299,13876
2451341,Friday,51.7593,12474
2451342,Saturday,45.8689,9449
2451343,Sunday,47.0031,14994
2451344,Monday,50.6389,16407
2451345,Tuesday,46.4511,10916
2451346,Wednesday,55.3931,9583
2451347,Thursday,53.1633,10420
2451348,Friday,51.0423,10872
2451349,Saturday,54.9713,9565
2451350,Sunday,43.6502,9734
2451351,Monday,52.8959,20841
2451352,Tuesday,51.5059,13031
2451353,Wednesday,52.3404,9840
2451354,Thursday,56.3808,13475
2451355,Friday,53.2556,11876
2451356,Saturday,48.3213,12032
2451357,Sunday,52.4248,11848
2451358,Monday,45.7000,6855
2451359,Tuesday,52.0904,8647
2451360,Wednesday,48.1576,7946
2451361,Thursday,55.9036,15653
2451362,Friday,50.4299,16541
2451363,Saturday,47.6815,6437
2451364,Sunday,45.5238,7648
2451365,Monday,50.1661,16003
2451366,Tuesday,50.6522,8155
2451367,Wednesday,50.4008,12701
2451368,Thursday,49.3042,12967
2451369,Friday,51.1705,13202
2451370,Saturday,48.5851,11709
2451371,Sunday,50.1684,9532
2451372,Monday,51.6330,13786
2451373,Tuesday,54.4770,13020
2451374,Wednesday,44.8169,9546
2451375,Thursday,50.3668,11534
2451376,Friday,50.1859,9987
2451377,Saturday,49.9024,10230
2451378,Sunday,52.9082,10370
2451379,Monday,52.6696,12114
2451380,Tuesday,45.4477,10862
2451381,Wednesday,46.0171,10768
2451382,Thursday,51.5957,9700
2451383,Friday,40.2303,7161
2451384,Saturday,45.0788,7438
2451385,Sunday,45.9648,11767
2451386,Monday,50.0496,14114
2451387,Tuesday,52.7782,13089
2451388,Wednesday,47.8557,9619
2451389,Thursday,51.2324,9478
2451390,Friday,52.0306,18679
2451391,Saturday,52.0234,11133
2451392,Sunday,54.3155,10157
2451393,Monday,51.8220,9898
2451394,Tuesday,50.2767,21619
2451395,Wednesday,46.3889,27555
2451396,Thursday,52.3544,27329
2451397,Friday,50.6835,20020
2451398,Saturday,53.9382,32309
2451399,Sunday,52.1154,31165
2451400,Monday,49.2967,28247
2451401,Tuesday,50.6107,26520
2451402,Wednesday,51.1793,29121
2451403,Thursday,50.9709,24517
2451404,Friday,50.8095,26675
2451405,Saturday,48.7379,26221
2451406,Sunday,53.0613,25947
2451407,Monday,53.2809,29784
2451408,Tuesday,51.7720,29976
2451409,Wednesday,48.9118,24407
2451410,Thursday,51.7477,17232
2451411,Friday,48.9181,29253
2451412,Saturday,50.9271,30047
2451413,Sunday,51.3133,20474
2451414,Monday,48.7247,24070
2451415,Tuesday,50.6833,28484
2451416,Wednesday,48.5440,27573
2451417,Thursday,50.1361,25419
2451418,Friday,52.5195,28308
2451419,Saturday,49.9952,31047
2451420,Sunday,47.2734,24724
2451421,Monday,49.3307,25060
2451422,Tuesday,49.7048,26095
2451423,Wednesday,51.7982,22584
2451424,Thursday,51.1931,17764
2451425,Friday,49.3947,35663
2451426,Saturday,52.8370,26577
2451427,Sunday,51.1316,22140
2451428,Monday,51.0221,23113
2451429,Tuesday,50.1876,24341
2451430,Wednesday,55.8911,13861
2451431,Thursday,46.5623,26168
2451432,Friday,56.1847,32250
2451433,Saturday,49.7108,22519
2451434,Sunday,48.3380,17305
2451435,Monday,48.6270,21639
2451436,Tuesday,52.0293,28408
2451437,Wednesday,49.6903,28721
2451438,Thursday,52.4150,23744
2451439,Friday,52.3963,31071
2451440,Saturday,52.7804,24754
2451441,Sunday,48.7647,24870
2451442,Monday,51.7883,23978
2451443,Tuesday,45.9631,18707
2451444,Wednesday,52.2055,24641
2451445,Thursday,51.4947,24460
2451446,Friday,50.9564,25733
2451447,Saturday,52.0697,32127
2451448,Sunday,49.6798,24045
2451449,Monday,48.5572,26318
2451450,Tuesday,48.8633,21451
2451451,Wednesday,48.4089,21784
2451452,Thursday,49.4853,27019
2451453,Friday,50.7329,26026
2451454,Saturday,55.3161,32028
2451455,Sunday,51.3429,23207
2451456,Monday,53.0823,29673
2451457,Tuesday,48.1512,31202
2451458,Wednesday,51.1910,29486
2451459,Thursday,49.7711,22397
2451460,Friday,52.9170,28681
2451461,Saturday,49.1423,26586
2451462,Sunday,49.9973,18849
2451463,Monday,49.1458,28308
2451464,Tuesday,52.1988,26517
2451465,Wednesday,52.3767,22941
2451466,Thursday,48.2317,21029
2451467,Friday,52.6320,32895
2451468,Saturday,51.6913,28637
2451469,Sunday,54.3964,32801
2451470,Monday,47.8541,24597
2451471,Tuesday,52.1625,20865
2451472,Wednesday,50.0776,23236
2451473,Thursday,50.9854,27991
2451474,Friday,52.9751,27653
2451475,Saturday,52.1076,31473
2451476,Sunday,45.1084,23727
2451477,Monday,52.2104,30021
2451478,Tuesday,52.0065,24079
2451479,Wednesday,50.8514,30104
2451480,Thursday,50.9875,24474
2451481,Friday,48.4070,22122
2451482,Saturday,47.7785,22217
2451483,Sunday,51.3075,25192
2451484,Monday,52.2454,20010
2451485,Tuesday,47.2623,23962
2451486,Wednesday,52.2375,45081
2451487,Thursday,50.2209,39323
2451488,Friday,50.7328,41398
2451489,Saturday,52.6814,54894
2451490,Sunday,47.8393,31861
2451491,Monday,50.9564,33886
2451492,Tuesday,49.5038,46088
2451493,Wednesday,51.3709,36422
2451494,Thursday,53.3605,41888
2451495,Friday,54.1601,32821
2451496,Saturday,50.6226,36347
2451497,Sunday,51.1386,33956
2451498,Monday,50.8499,39968
2451499,Tuesday,48.9023,39562
2451500,Wednesday,50.3568,40084
2451501,Thursday,49.4795,42206
2451502,Friday,49.2629,36356
2451503,Saturday,50.9915,47779
2451504,Sunday,52.8729,46581
2451505,Monday,49.5017,43710
2451506,Tuesday,49.7236,41917
2451507,Wednesday,51.5192,45543
2451508,Thursday,52.0635,43473
2451509,Friday,51.9668,35961
2451510,Saturday,50.0111,40509
2451511,Sunday,51.4896,39441
2451512,Monday,48.9246,39580
2451513,Tuesday,51.5120,34410
2451514,Wednesday,51.5388,39891
2451515,Thursday,55.8818,38279
2451516,Friday,50.9170,39868
2451517,Saturday,51.7319,49197
2451518,Sunday,48.8477,41374
2451519,Monday,52.0891,36827
2451520,Tuesday,51.8146,36322
2451521,Wednesday,49.7648,34487
2451522,Thursday,48.6499,41547
2451523,Friday,52.9561,38605
2451524,Saturday,52.9311,37634
2451525,Sunday,49.6167,45697
2451526,Monday,50.4729,35432
2451527,Tuesday,50.0011,45301
2451528,Wednesday,51.7930,49048
2451529,Thursday,52.4060,39881
2451530,Friday,48.2545,34502
2451531,Saturday,47.7820,38799
2451532,Sunday,49.6701,38842
2451533,Monday,48.3826,38948
2451534,Tuesday,51.5552,28974
2451535,Wednesday,48.4294,40487
2451536,Thursday,53.6950,44191
2451537,Friday,49.4232,35387
2451538,Saturday,50.8512,43732
2451539,Sunday,48.8757,34995
2451540,Monday,50.9329,41765
2451541,Tuesday,50.7418,49524
2451542,Wednesday,49.6977,43734
2451543,Thursday,51.7875,41430
2451544,Friday,52.7810,38794
2451545,Saturday,50.1912,42010
2451546,Sunday,50.0080,56159
2451547,Monday,54.1682,11917
2451548,Tuesday,45.9454,8408
2451549,Wednesday,53.3782,12704
2451550,Thursday,50.9059,12981
2451551,Friday,47.8535,9475
2451552,Saturday,54.4038,14145
2451553,Sunday,48.7692,14582
2451554,Monday,51.3368,9754
2451555,Tuesday,46.2520,11563
2451556,Wednesday,53.5580,11997
2451557,Thursday,48.5065,7470
2451558,Friday,48.2947,4588
2451559,Saturday,49.5375,12533
2451560,Sunday,47.0791,8333
2451561,Monday,53.7181,8004
2451562,Tuesday,49.3320,11889
2451563,Wednesday,48.7582,11897
2451564,Thursday,48.9814,10531
2451565,Friday,48.7349,8090
2451566,Saturday,56.0684,10653
2451567,Sunday,52.9084,13280
2451568,Monday,51.9366,14750
2451569,Tuesday,47.9817,7869
2451570,Wednesday,59.5385,8514
2451571,Thursday,55.6434,13577
2451572,Friday,46.0873,12674
2451573,Saturday,48.7914,7953
2451574,Sunday,49.6995,10089
2451575,Monday,49.3463,10116
2451576,Tuesday,46.7265,11448
2451577,Wednesday,48.8618,12020
2451578,Thursday,46.4732,9527
2451579,Friday,54.4420,22049
2451580,Saturday,49.7220,11983
2451581,Sunday,48.5498,13157
2451582,Monday,52.5880,12253
2451583,Tuesday,51.6731,10748
2451584,Wednesday,46.0000,10120
2451585,Thursday,49.9343,9887
2451586,Friday,54.7940,10904
2451587,Saturday,54.4444,9800
2451588,Sunday,57.3058,15931
2451589,Monday,49.6972,14114
2451590,Tuesday,48.2463,9794
2451591,Wednesday,49.4638,11624
2451592,Thursday,49.9754,14193
2451593,Friday,47.9518,7960
2451594,Saturday,47.8471,7512
2451595,Sunday,41.7450,10478
2451596,Monday,56.2840,14071
2451597,Tuesday,49.4280,12357
2451598,Wednesday,51.8989,13857
2451599,Thursday,50.6093,10881
2451600,Friday,52.2194,10235
2451601,Saturday,49.0913,11291
2451602,Sunday,52.2301,12483
2451603,Monday,55.9679,8731
2451604,Tuesday,56.7962,11984
2451605,Wednesday,52.4025,12367
2451606,Thursday,48.8934,15597
2451607,Friday,50.0769,7161
2451608,Saturday,47.5616,9655
2451609,Sunday,51.7652,11906
2451610,Monday,44.5642,7977
2451611,Tuesday,50.9597,13912
2451612,Wednesday,50.4365,9936
2451613,Thursday,57.2953,8537
2451614,Friday,48.6990,5016
2451615,Saturday,50.4366,10743
2451616,Sunday,45.7143,6080
2451617,Monday,53.9370,13700
2451618,Tuesday,49.3600,9872
2451619,Wednesday,57.1892,14812
2451620,Thursday,45.5419,10338
2451621,Friday,47.7764,15384
2451622,Saturday,51.2500,10865
2451623,Sunday,52.2946,11714
2451624,Monday,50.2490,12110
2451625,Tuesday,49.4818,10886
2451626,Wednesday,53.4500,14966
2451627,Thursday,54.1840,8832
2451628,Friday,47.0854,9370
2451629,Saturday,52.2838,7738
2451630,Sunday,53.2577,13847
2451631,Monday,52.8099,13889
2451632,Tuesday,52.3389,12509
2451633,Wednesday,47.8085,19219
2451634,Thursday,49.8682,6433
2451635,Friday,51.1090,10784
