ss_item_sk,avg(ss_net_profit),sum(ss_net_profit)
160,-1057.1376,-115228
161,-964.9626,-103251
162,-818.3768,-56468
163,-916.8140,-275961
164,-963.3262,-180142
165,-506.3232,-50126
166,-845.5000,-99769
167,-907.4872,-106176
168,-741.1667,-48917
169,-729.8935,-212399
170,-851.1850,-147255
171,-558.1217,-64184
172,-1033.8843,-125100
173,-986.6555,-117412
174,-535.3810,-33729
175,-1029.8439,-277028
176,-990.1317,-165352
177,-531.7757,-56900
178,-839.7080,-94887
179,-1278.9099,-141959
180,-795.6933,-59677
181,-646.8640,-175947
182,-717.8600,-107679
183,-863.5963,-94132
184,-883.0973,-99790
185,-563.6154,-65943
186,-629.9825,-35909
187,-984.4982,-278613
188,-844.5771,-147801
189,-602.6796,-62076
190,-804.7241,-93348
191,-674.5481,-70153
192,-898.4063,-57498
193,-878.3652,-257361
194,-932.7158,-170687
195,-656.1062,-74140
196,-733.8115,-89525
197,-1129.4907,-121985
198,-1180.0313,-75522
199,-723.1138,-209703
200,-699.9565,-128792
201,-677.3028,-73826
202,-790.6325,-92504
203,-788.2269,-93799
204,-362.4808,-18849
205,-957.4775,-276711
206,-679.5906,-116210
207,-938.2170,-99451
208,-828.7333,-99448
209,-667.1818,-73390
210,-594.5000,-41615
211,-835.5688,-230617
212,-974.2335,-162697
213,-699.4722,-75543
214,-965.0396,-97469
215,-860.7034,-101563
216,-953.4462,-61974
217,-897.4232,-286278
218,-852.3978,-154284
219,-840.6061,-110960
220,-663.0163,-81551
221,-826.9043,-95094
222,-594.0833,-35645
223,-701.5755,-195038
224,-883.6507,-184683
225,-774.7557,-101493
226,-901.0680,-92810
227,-773.4688,-99004
228,-1179.0556,-84892
229,-502.9239,-138807
230,-1052.0256,-164116
231,-624.3710,-77422
232,-804.3051,-94908
233,-817.1984,-102967
234,-483.4030,-32388
235,-792.0996,-222580
236,-999.6567,-200931
237,-755.6609,-86901
238,-1022.9741,-118665
239,-897.5929,-101428
240,-890.0820,-54295
241,-729.8442,-234280
242,-826.4670,-150417
243,-950.3967,-114998
244,-596.2797,-70361
245,-779.8411,-83443
246,-784.0154,-50961
247,-928.3191,-282209
248,-881.2614,-155102
249,-1062.6800,-106268
250,-966.7969,-123750
251,-1083.7156,-118125
252,-806.3380,-57250
253,-782.3279,-238610
254,-568.6489,-106906
255,-836.5089,-93689
256,-1145.9018,-128341
257,-964.3853,-105118
258,-1357.1754,-77359
259,-765.0000,-223380
260,-864.0238,-145156
261,-840.8901,-76521
262,-813.8803,-95224
263,-732.1322,-88588
264,-862.0500,-51723
265,-752.2734,-200857
266,-778.1648,-141626
267,-767.0703,-98185
268,-811.4854,-83583
269,-479.2385,-52237
270,-516.7368,-29454
271,-717.6115,-199496
272,-592.2443,-104235
273,-884.9716,-124781
274,-531.4524,-66963
275,-798.2804,-85416
276,-680.0392,-34682
277,-941.2862,-286151
278,-600.3547,-103261
279,-661.3832,-70768
280,-799.5900,-79959
281,-645.1282,-75480
282,-944.6000,-51953
283,-606.0306,-178173
284,-958.5419,-148574
285,-901.1802,-100031
286,-711.0291,-73236
287,-825.3958,-79238
288,-538.3382,-36607
289,-649.1660,-172029
290,-593.6289,-94387
291,-846.6583,-101599
292,-756.0153,-99038
293,-845.2803,-111577
294,-817.3810,-51495
295,-775.5193,-221023
296,-713.2686,-124822
297,-737.4019,-78902
298,-838.3934,-102284
299,-541.5043,-62273
300,-947.3793,-54948
301,-762.2618,-209622
302,-744.3617,-139940
303,-727.4957,-83662
304,-776.6218,-92418
305,-901.0160,-112627
306,-708.2453,-37537
307,-751.4591,-238964
308,-728.5939,-120218
309,-792.0000,-97416
310,-844.1863,-86107
311,-832.1017,-98188
312,-820.6290,-50879
313,-891.4963,-240704
314,-773.5393,-147746
315,-655.8142,-74107
316,-768.4636,-84531
317,-1052.8455,-129500
318,-693.4773,-30513
319,-691.3038,-202552
320,-1013.4556,-182422
321,-850.3145,-105439
322,-634.4741,-73599
323,-971.0152,-128174
324,-949.6129,-58876
325,-714.9656,-208055
326,-910.9101,-172162
327,-744.5474,-102003
328,-988.5400,-98854
329,-735.8108,-81675
330,-404.6140,-23063
331,-809.8697,-211376
332,-1094.8176,-174076
333,-769.9730,-85467
334,-665.4122,-87169
335,-854.1702,-120438
336,-829.9844,-53119
337,-823.5000,-250344
338,-781.0324,-144491
339,-838.0391,-107269
340,-789.2482,-108127
341,-801.8058,-82586
342,-838.2500,-50295
343,-733.1557,-211882
344,-785.6957,-144568
345,-860.2277,-86883
346,-922.0720,-115259
347,-633.1870,-77882
348,-910.3824,-61906
349,-807.5359,-269717
350,-1018.1436,-205665
351,-858.7015,-115066
352,-813.9397,-94417
353,-718.4355,-89086
354,-1035.4915,-61094
355,-743.3235,-202184
356,-770.3592,-158694
357,-1017.6273,-111939
358,-937.9048,-118176
359,-855.8917,-102707
360,-837.4407,-49409
361,-789.5867,-213978
362,-511.8506,-89062
363,-757.1111,-95396
364,-588.2569,-64120
365,-1114.8309,-151617
366,-770.4808,-40065
367,-915.3065,-238895
368,-808.7097,-150420
369,-687.5596,-74944
370,-1102.2214,-144391
371,-718.6182,-79048
372,-605.2321,-33893
373,-715.7358,-189670
374,-846.3812,-153195
375,-474.4960,-59312
376,-756.5455,-83220
377,-556.2393,-65080
378,-613.8305,-36216
379,-642.5714,-193414
380,-854.7892,-158136
381,-778.5122,-95757
382,-606.1667,-69103
383,-897.4545,-98720
384,-722.5231,-46964
385,-840.3873,-238670
386,-836.2593,-135474
387,-571.5164,-69725
388,-815.6870,-93804
389,-581.6261,-66887
390,-918.2245,-44993
391,-908.8362,-260836
392,-779.5309,-126284
393,-675.7184,-69599
394,-944.0696,-108568
395,-907.9633,-98968
396,-771.5286,-54007
397,-799.6528,-230300
398,-845.4815,-159796
399,-692.5038,-92103
400,-933.2727,-112926
401,-484.0579,-58571
402,-609.3878,-29860
403,-983.6111,-283280
404,-862.2583,-130201
405,-607.4821,-68038
406,-676.8444,-91374
407,-800.2435,-92028
408,-548.2909,-30156
409,-845.4491,-224044
410,-671.9539,-102137
411,-807.0833,-87165
412,-755.5328,-92175
413,-849.5446,-95149
414,-1040.7467,-78056
415,-800.2500,-227271
416,-882.6145,-157988
417,-872.1282,-102039
418,-889.9219,-113910
419,-916.4355,-113638
420,-1157.7458,-68307
421,-832.2891,-244693
422,-1066.8457,-200567
423,-828.4553,-101900
424,-912.8115,-111363
425,-1151.4020,-117443
426,-526.9104,-35303
427,-863.6084,-246992
428,-717.4407,-126987
429,-666.6923,-86670
430,-957.0167,-114842
431,-772.8667,-81151
432,-1110.9123,-63322
433,-783.4478,-262455
434,-847.0549,-154164
435,-568.9550,-63154
436,-695.9730,-77253
437,-764.5537,-92511
438,-520.1296,-28087
439,-941.1892,-313416
440,-1008.4175,-195633
441,-1011.9231,-105240
442,-753.0236,-95634
443,-435.4857,-60968
444,-1158.2182,-63702
445,-794.8800,-218592
446,-621.7554,-114403
447,-723.1140,-82435
448,-856.9727,-94267
449,-921.5607,-98607
450,-643.2679,-36023
451,-1015.2517,-298484
452,-754.6358,-122251
453,-935.9015,-123539
454,-812.7154,-99964
455,-918.6271,-108398
456,-905.5574,-55239
457,-1184.6854,-357775
458,-875.7822,-176908
459,-891.9386,-101681
460,-1091.6850,-138644
461,-769.5952,-96969
462,-686.1754,-39112
463,-761.1525,-214645
464,-1069.1059,-181748
465,-1082.6667,-113680
466,-803.9712,-83613
467,-738.0787,-93736
468,-931.2364,-51218
469,-718.6934,-206265
470,-1113.6688,-178187
471,-991.5565,-122953
472,-720.0923,-93612
473,-838.7980,-83041
474,-1006.5167,-60391
475,-695.7526,-202464
476,-677.2626,-121230
477,-854.3305,-100811
478,-944.9821,-105838
479,-819.3853,-89313
480,-923.7273,-50805
481,-976.6772,-278353
482,-614.0421,-116668
483,-575.1379,-66716
484,-746.7699,-84385
485,-741.7434,-83817
486,-806.9831,-47612
487,-859.7778,-247616
488,-497.9947,-93125
489,-952.3000,-104753
490,-864.4516,-107192
491,-594.0263,-67719
492,-591.3261,-27201
493,-855.4244,-266037
494,-1010.5633,-159669
495,-673.1154,-70004
496,-736.4018,-82477
497,-787.3362,-91331
498,-900.8039,-45941
499,-703.7251,-232933
500,-830.4293,-158612
501,-1085.3196,-105276
502,-726.0256,-84945
503,-924.0505,-91481
504,-736.7302,-46414
505,-657.1274,-206338
506,-508.7550,-76822
507,-754.7436,-88305
508,-960.2957,-110434
509,-812.9381,-78855
510,-633.8644,-37398
511,-845.5415,-213922
512,-862.0854,-141382
513,-926.1074,-112059
514,-632.7244,-80356
515,-566.7627,-66878
516,-949.5536,-53175
517,-721.0364,-198285
518,-938.1742,-145417
519,-642.1311,-78340
520,-845.9496,-100668
521,-1039.2692,-135105
522,-599.1639,-36549
523,-774.6466,-206056
524,-814.8539,-145044
525,-477.2000,-52492
526,-1022.3281,-130858
527,-1039.6944,-112287
528,-538.4237,-31767
529,-1029.6631,-290365
530,-979.3706,-166493
531,-921.6496,-107833
532,-894.0526,-101922
533,-804.8983,-94978
534,-739.6667,-37723
535,-615.0132,-185734
536,-866.1173,-155035
537,-786.9151,-83413
538,-864.1792,-91603
539,-729.0360,-80923
540,-809.9403,-54266
541,-811.6400,-243492
542,-906.5213,-170426
543,-954.1094,-122126
544,-877.9906,-93067
545,-922.5446,-93177
546,-1278.9077,-83129
547,-822.3262,-231896
548,-786.6821,-118789
549,-916.1167,-109934
550,-931.4821,-104326
551,-926.2449,-90772
552,-1114.4746,-65754
553,-698.6221,-208888
554,-875.6625,-140106
555,-757.4331,-96194
556,-722.7155,-83835
557,-755.3276,-87618
558,-698.8333,-41930
559,-806.3868,-231433
560,-816.0414,-137911
561,-951.1828,-88460
562,-960.0082,-117121
563,-680.3707,-78923
564,-1118.0000,-71552
565,-648.3486,-184131
566,-1040.2849,-178929
567,-875.7297,-97206
568,-363.7661,-45107
569,-1025.9286,-114904
570,-857.3617,-40296
571,-841.6164,-245752
572,-853.1250,-136500
573,-920.1984,-115945
574,-780.4758,-96779
575,-915.6417,-109877
576,-755.7143,-52900
577,-886.4078,-249967
578,-808.5646,-168990
579,-1012.1667,-115387
580,-478.2632,-54522
581,-598.1651,-65200
582,-924.8600,-46243
583,-853.2206,-232076
584,-711.6354,-136634
585,-980.4352,-105887
586,-664.4364,-73088
587,-847.8000,-89019
588,-1009.3226,-62578
589,-898.0490,-256842
590,-796.2912,-144925
591,-796.1217,-91554
592,-685.4167,-82250
593,-929.2752,-101291
594,-467.2264,-24763
595,-696.8947,-198615
596,-871.7320,-169116
597,-940.5268,-105339
598,-671.5446,-75213
599,-739.9730,-82137
600,-874.1846,-56822
601,-648.5076,-214656
602,-786.3370,-142327
603,-788.5946,-87534
604,-807.7578,-103393
605,-636.0110,-57877
606,-661.8364,-36401
607,-653.7841,-196789
608,-679.0964,-112730
609,-638.6822,-82390
610,-811.3226,-75453
611,-676.5192,-70358
612,-572.0000,-35464
613,-777.7955,-239561
614,-726.2952,-120565
615,-1083.1250,-147305
616,-856.5385,-89080
617,-926.1382,-113915
618,-312.8784,-23153
619,-892.4664,-265955
620,-787.7680,-142586
621,-868.0144,-120654
622,-766.5882,-104256
623,-805.2131,-98236
624,-406.3509,-23162
625,-1006.0330,-304828
626,-738.1176,-125480
627,-734.9912,-83789
628,-934.6742,-123377
629,-864.7500,-107229
630,-935.2239,-62660
631,-823.5347,-237178
632,-848.8613,-146853
633,-1049.5507,-144838
634,-799.6148,-97553
635,-1022.1826,-117551
636,-985.9167,-59155
637,-741.3171,-259461
638,-912.7486,-163382
639,-469.6639,-55890
640,-698.3491,-74025
641,-1079.8462,-112304
642,-829.7273,-54762
643,-867.1478,-252340
644,-602.8405,-98263
645,-929.4505,-103169
646,-939.7706,-102435
647,-1024.8952,-107614
648,-761.1818,-41865
649,-852.6489,-240447
650,-814.9146,-133646
651,-646.8269,-67270
652,-781.6721,-95364
653,-939.5385,-97712
654,-1086.2182,-59742
655,-856.0199,-257662
656,-805.9213,-143454
657,-552.5217,-63540
658,-1130.7297,-125511
659,-816.7456,-93109
660,-839.6604,-44502
661,-838.0619,-243876
662,-789.4044,-144461
663,-518.1732,-65808
664,-995.3443,-121432
665,-1241.7075,-131621
666,-677.4286,-47420
667,-720.6393,-201779
668,-695.0286,-121630
669,-860.2222,-92904
670,-1255.2130,-135563
671,-983.1532,-109130
672,-717.5686,-36596
673,-729.1684,-207813
674,-832.9409,-154927
675,-777.4211,-103397
676,-389.4706,-46347
677,-840.6639,-100039
678,-480.7778,-25962
679,-871.1448,-252632
680,-672.1163,-115604
681,-675.8814,-79754
682,-967.4454,-115126
683,-588.1966,-68819
684,-798.7027,-59104
685,-850.0903,-235475
686,-943.4890,-171715
687,-1081.5217,-124375
688,-752.0175,-85730
689,-776.2414,-90044
690,-1054.5161,-65380
691,-868.8380,-246750
692,-743.9045,-132415
693,-738.1942,-76034
694,-700.2222,-94530
695,-849.9346,-90943
696,-920.8806,-61699
697,-730.0073,-199292
698,-854.5393,-163217
699,-1166.3083,-139957
700,-737.4545,-81120
701,-1050.7339,-114530
702,-1432.0385,-74466
703,-659.1308,-171374
704,-781.8789,-148557
705,-1056.8968,-133169
706,-740.7850,-79264
707,-854.2167,-102506
708,-355.5902,-21691
709,-809.9362,-228402
710,-767.1243,-141918
711,-851.4000,-102168
712,-760.8235,-77604
713,-855.1890,-108609
714,-444.3030,-29324
715,-801.4459,-244441
716,-715.1813,-114429
717,-560.0989,-50969
718,-866.1261,-103069
719,-958.5859,-122699
720,-657.8246,-37496
721,-711.0759,-215456
722,-825.5889,-148606
723,-833.4667,-100016
724,-833.6116,-100867
725,-794.5725,-104089
726,-1242.9434,-65876
727,-810.6558,-223741
728,-945.3281,-181503
729,-1155.7474,-109796
730,-859.6597,-123791
731,-678.2348,-77997
732,-732.0175,-41725
733,-716.2205,-230623
734,-1091.5330,-198659
735,-824.2243,-88192
736,-755.8571,-84656
737,-981.5755,-104047
738,-1167.0000,-57183
739,-806.1612,-220082
740,-1013.8443,-169312
741,-822.3211,-89633
742,-1086.5798,-129303
743,-605.7212,-62995
744,-1086.8305,-64123
745,-949.4825,-271552
746,-825.5436,-160981
747,-1031.7843,-105242
748,-816.5254,-96350
749,-432.2857,-48416
750,-746.9365,-47057
751,-982.7057,-277123
752,-691.6839,-107211
753,-558.8824,-57006
754,-799.0609,-91892
755,-948.0391,-121349
756,-848.9571,-59427
757,-907.3137,-277638
758,-904.4759,-169137
759,-958.3333,-135125
760,-1012.2419,-125518
761,-782.6565,-102528
762,-1096.4600,-54823
763,-850.0990,-249079
764,-811.4099,-130637
765,-775.1760,-96897
766,-888.4000,-102166
767,-885.4560,-110682
768,-928.1364,-61257
769,-776.3098,-230564
770,-659.8982,-110203
771,-692.5250,-83103
772,-508.3235,-69132
773,-830.4915,-97998
774,-732.5429,-51278
775,-769.7208,-203976
776,-774.5135,-114628
777,-574.0614,-65443
778,-535.3952,-66389
779,-1063.3587,-97829
780,-828.5606,-54685
781,-1064.9296,-302440
782,-898.8342,-168082
783,-589.0758,-77758
784,-1027.5784,-104813
785,-921.8047,-117991
786,-884.0862,-51277
787,-850.1818,-261856
788,-1013.8449,-189589
789,-1141.9800,-114198
790,-604.1638,-70083
791,-753.4310,-87398
792,-795.4600,-39773
793,-837.7123,-244612
794,-877.4813,-164089
795,-1068.4590,-130352
796,-1015.9074,-109718
797,-712.3060,-95449
798,-795.2182,-43737
799,-1054.0430,-318321
800,-727.2649,-109817
801,-821.3040,-102663
802,-800.7926,-108107
803,-845.5505,-92165
804,-1051.6154,-54684
805,-929.1020,-282447
806,-820.3025,-132889
807,-1015.7647,-120876
808,-991.9455,-109114
809,-689.6636,-75863
810,-899.3393,-50363
811,-930.4362,-277270
812,-654.5800,-130916
813,-764.6471,-90993
814,-734.7008,-93307
815,-922.6695,-108875
816,-853.0541,-63126
817,-898.0935,-278409
818,-662.4516,-102680
819,-575.2941,-68460
820,-680.0857,-71409
821,-695.8509,-79327
822,-717.4179,-48067
823,-804.9702,-243101
824,-955.3313,-155719
825,-931.7426,-94106
826,-789.1111,-92326
827,-656.3982,-74173
828,-1116.4694,-54707
829,-901.0297,-273012
830,-791.4432,-139294
831,-574.5410,-70094
832,-876.5714,-98176
833,-903.2258,-112000
834,-1024.5660,-54302
835,-1149.8710,-356460
836,-872.9719,-155389
837,-817.7368,-77685
838,-676.3774,-71696
839,-804.2783,-92492
840,-1270.1563,-81290
841,-862.2259,-286259
842,-992.8810,-166804
843,-494.1210,-61271
844,-643.1721,-78467
845,-551.4186,-71133
846,-1035.7115,-53857
847,-696.8255,-207654
848,-746.4152,-127637
849,-748.9652,-86131
850,-706.4474,-80535
851,-642.9810,-67513
852,-874.0200,-43701
853,-706.5886,-211270
854,-726.3801,-124211
855,-949.0000,-94900
856,-1087.8317,-109871
857,-882.8712,-116539
858,-804.2759,-46648
859,-946.7266,-273604
860,-937.2556,-168706
861,-865.3738,-92595
862,-323.5327,-34618
863,-750.5000,-96064
864,-1126.0870,-51800
865,-789.4924,-208426
866,-891.0126,-141671
867,-653.5455,-71890
868,-741.5923,-96407
869,-871.8333,-99389
870,-948.8769,-61677
871,-673.0486,-193838
872,-746.9936,-117278
873,-782.3516,-100141
874,-575.5357,-64460
875,-785.5250,-94263
876,-872.9219,-55867
877,-1049.5397,-316961
878,-722.7807,-135160
879,-686.3594,-87854
880,-974.3652,-112052
881,-929.3214,-104084
882,-721.5918,-35358
883,-829.5878,-231455
884,-880.9106,-157683
885,-857.6216,-95196
886,-730.5037,-98618
887,-874.3784,-97056
888,-597.5179,-33461
889,-879.5893,-246285
890,-791.0170,-139219
891,-847.5833,-91539
892,-710.8966,-82464
893,-753.5303,-99466
894,-714.0000,-43554
895,-857.2857,-258043
896,-945.8930,-176882
897,-928.0133,-139202
898,-875.3276,-101538
899,-1014.4322,-119703
900,-629.3654,-32727
901,-848.2694,-251936
902,-894.9081,-165558
903,-809.2150,-86586
904,-955.4746,-112746
905,-766.3403,-110353
906,-1098.4211,-41740
907,-801.9516,-231764
908,-1039.7189,-192348
909,-874.6917,-104963
910,-967.9297,-123895
911,-1044.3101,-134716
912,-573.5763,-33841
913,-775.8447,-239736
914,-886.0119,-148850
915,-1161.2451,-118447
916,-754.6555,-89804
917,-1063.0410,-129691
918,-654.3492,-41224
919,-766.4896,-220749
920,-661.3989,-121036
921,-664.2000,-86346
922,-932.5586,-103514
923,-677.7895,-77268
924,-777.3286,-54413
925,-702.9384,-205258
926,-765.2802,-139281
927,-1088.9338,-148095
928,-1019.6667,-134596
929,-906.8440,-98846
930,-755.0263,-57382
931,-750.8257,-228251
932,-784.2671,-126267
933,-1009.4385,-131227
934,-762.6018,-86174
935,-950.1712,-105469
936,-861.8689,-52574
937,-814.1188,-212485
938,-696.6734,-138638
939,-1059.4158,-107001
940,-552.9533,-59166
941,-803.3053,-105233
942,-989.2727,-65292
943,-803.1236,-214434
944,-843.3164,-149267
945,-778.9360,-97367
946,-876.8349,-95575
947,-544.6058,-74611
948,-1154.3617,-54255
949,-867.6014,-248134
950,-796.9538,-155406
951,-712.5172,-82652
952,-1010.9551,-157709
953,-883.6000,-114868
954,-545.7414,-31653
955,-896.1879,-252725
956,-821.8377,-156971
957,-567.0918,-55575
958,-832.0000,-108160
959,-1094.5739,-125876
960,-930.0328,-56732
961,-1106.8942,-324320
962,-885.8000,-132870
963,-572.5895,-54396
964,-589.4296,-83699
965,-853.7632,-97329
966,-939.5185,-50734
967,-673.2200,-201966
968,-726.3261,-133644
969,-946.9369,-105110
970,-663.9813,-71046
971,-818.1417,-103904
972,-492.3167,-29539
973,-733.1667,-211152
974,-945.9878,-155142
975,-631.3182,-55556
976,-268.8142,-30376
977,-987.8983,-116572
978,-878.1356,-51810
979,-741.8123,-217351
980,-873.7333,-157272
981,-855.4737,-97524
982,-930.8609,-107049
983,-1057.5000,-133245
984,-781.9600,-39098
985,-948.1190,-255044
986,-742.6848,-136654
987,-863.3471,-104465
988,-646.7500,-75023
989,-706.8359,-90475
990,-407.4746,-24041
991,-1036.6558,-286117
992,-775.5778,-139604
993,-841.5085,-99298
994,-1033.7297,-114744
995,-1065.2417,-127829
996,-223.6346,-11629
997,-869.8899,-276625
998,-684.1842,-103996
999,-1109.7653,-108757
1000,-985.2522,-113304
1001,-886.8505,-94893
1002,-980.9800,-49049
1003,-937.8504,-238214
1004,-677.1588,-115117
1005,-920.9029,-94853
1006,-480.7043,-55281
1007,-641.4071,-72479
1008,-1064.5902,-64940
1009,-817.9455,-224935
1010,-768.6057,-134506
1011,-734.8621,-85244
1012,-826.9333,-99232
1013,-880.1600,-88016
1014,-709.0615,-46089
1015,-1013.8521,-287934
1016,-1023.2275,-170879
1017,-924.3036,-103522
1018,-856.8190,-99391
1019,-892.2551,-87441
1020,-805.2031,-51533
1021,-961.0533,-288316
1022,-777.8295,-136898
1023,-655.3534,-76021
1024,-810.8558,-84329
1025,-707.4472,-87016
1026,-1165.0577,-60583
1027,-698.9248,-213871
1028,-995.0690,-173142
1029,-753.5688,-82139
1030,-918.1111,-107419
1031,-792.3217,-91117
1032,-1043.7407,-56362
1033,-834.9863,-242981
1034,-923.1053,-157851
1035,-884.1923,-91956
1036,-963.9683,-121460
1037,-924.2069,-107208
1038,-598.6731,-31131
1039,-802.6899,-230372
1040,-687.2640,-135391
1041,-867.9123,-98942
1042,-806.6870,-92769
1043,-712.6579,-81243
1044,-430.0566,-22793
1045,-781.8245,-236111
1046,-1142.1167,-205581
1047,-873.0734,-95165
1048,-869.6048,-107831
1049,-871.1811,-110640
1050,-1029.0143,-72031
1051,-894.1761,-253946
1052,-790.0526,-120088
1053,-1183.2295,-144354
1054,-891.4144,-98947
1055,-1101.1273,-121124
1056,-783.8491,-41544
1057,-809.1016,-254867
1058,-715.1076,-112987
1059,-785.8145,-97441
1060,-952.1628,-122829
1061,-924.3145,-114615
1062,-830.5333,-49832
1063,-992.3729,-300689
1064,-992.4148,-174665
1065,-790.2037,-85342
1066,-831.7969,-106470
1067,-847.4595,-94068
1068,-1226.1803,-74797
1069,-818.6679,-224315
1070,-785.4540,-128029
1071,-882.5690,-102378
1072,-657.2075,-69664
1073,-878.1491,-100109
1074,-441.3125,-21183
1075,-825.1103,-239282
1076,-525.6845,-88315
1077,-783.6983,-90909
1078,-691.3704,-93335
1079,-875.2243,-93649
1080,-833.0741,-44986
1081,-1024.3441,-285792
1082,-733.9514,-135781
1083,-836.4480,-104556
1084,-786.4167,-94370
1085,-545.1224,-53422
1086,-608.9206,-38362
1087,-852.3156,-240353
1088,-1044.4213,-185907
1089,-541.5969,-69866
1090,-622.4262,-75936
1091,-862.2991,-92266
1092,-728.3636,-40060
1093,-883.6679,-244776
1094,-627.0656,-114753
1095,-925.2832,-104557
1096,-835.2232,-93545
1097,-725.9055,-92190
1098,-585.8769,-38082
1099,-747.4248,-228712
1100,-690.2707,-124939
1101,-1140.4338,-155099
1102,-691.0632,-65651
1103,-944.5041,-114285
1104,-967.7018,-55159
1105,-969.7404,-276376
1106,-679.5650,-120283
1107,-1143.7364,-125811
1108,-910.0538,-118307
1109,-888.9828,-103122
1110,-984.3913,-45282
1111,-906.3481,-286406
1112,-964.0291,-165813
1113,-514.5496,-67406
1114,-845.2545,-92978
1115,-625.4474,-71301
1116,-494.5758,-32642
1117,-957.0550,-278503
1118,-737.2000,-117952
1119,-832.7903,-103266
1120,-879.6917,-105563
1121,-926.4375,-103761
1122,-517.8125,-24855
1123,-918.7987,-282990
1124,-888.1852,-167867
1125,-1143.1230,-139461
1126,-789.3529,-93933
1127,-482.0800,-48208
1128,-1035.0455,-45542
1129,-752.0695,-227125
1130,-974.0838,-162672
1131,-722.0367,-78702
1132,-532.3188,-73460
1133,-586.6283,-66289
1134,-1071.0476,-67476
1135,-970.6177,-284391
1136,-950.0385,-148206
1137,-964.4825,-109951
